Category,Prompt,Generated Text,i,MAX_LEN
Indian defense,india's quest for security: defence policies 1947-1965,"india's quest for security: defence policies 1947-1965
- Type
ARTICLE
The article describes the origins and evolution of the Indian foreign policy towards Pakistan and China, and discusses the factors leading to India'a growing interest in the security of Pakistan. It analyses the role played by the military as a source of advice and decision making with regard to the foreign and security policy. The article examines India's foreign economic and financial policies and their influence on the country' "" * economic development.
This paper is the second paper of a series of papers on defence and external security issues, published in 1991 and 1989, on behalf of IISS by Manohar Parrikar of India. In 1974, Parikkar was commissioned in Indian Army. His first book, The Warrior State, was published by HarperCollins India in January 2000. Parikh is a Fellow of Royal Geographical Society and the Geological Society London, a member of The Royal Institute of",0,194
Indian defense,"defence, make in india and the illusive goal of self reliance","defence, make in india and the illusive goal of self reliance: the way forward
India’s defence budget is expected to be hiked by about 6%, to around US$ 40 billion, in the forthcoming budget session, the second major hike in as many years. This will be the seventh increase in six years, and is being done in sync with the ‘Make in India’ initiative and “strategic autonomy” in defence manufacturing.
This article is an exclusive for South Asian Defence Review
While the hike is welcome, it is also being pointed at as the reason why the country is unable to procure major defence equipment despite its huge budget size. The reason for this anomaly has been attributed to the fact that the Indian defence industry, as a whole, is still at a very nascent stage. It has not yet been given enough impetus by the government and, therefore, lacks the expertise and ability to deliver. As a result, all procurements have largely taken place with a number of foreign partners, mostly from the US, France",1,200
Indian defense,india-russia defence cooperation: re-discovering a long lost friend,"india-russia defence cooperation: re-discovering a long lost friend. The Indian Army, as a part of its strategic cooperation with Russia, is participating in the International Army Games (IAG) in Sochi, Russia.
IAGS is an international military sports competition which is organised by the Russian Ministry of Defence – a unique event that gathers the finest military personnel from all over the world and allows them to compete in 16 different disciplines. 2016 is the first time that India has participated in IAG. I have the pleasure of being the Observer for the Indian team, which will be participating under the aegis of the United Nations Peacekeeping Operations / Mission and under my guidance. A number of observers from other countries will also be present. We hope that the competition will not only be interesting but will further cement our relations with our partners in defence, and the IGA has been a very important element of this cooperation. As an Observer from India, I will try to ensure that our participation is as successful as possible;",2,198
Indian defense,indian defence review vol 22.4,"indian defence review vol 22.4
ind.
In this issue, we discuss the “India-US 2+2 dialogue”, the US’ ‘Indo-Pacific’ doctrine, Indo-Japanese ties and 5th generation technologies, the Indo Defence Offset policy and India’s nuclear deterrence. Also read about the India-Russia 30th annual military exercise, India's participation in the International Mine Action Conference, and the latest developments in India ’ s submarine fleet. The issue also has articles on the Indian Army’' s 'Combat Support Services', the IAF 50th anniversary celebrations, & Indian Navy’""s first Indigenous Aircraft Carrier..",3,193
Indian defense,salient issues affecting defence manpower in india,"salient issues affecting defence manpower in india
A. The major factors affecting the Indian defence industry are: Defence equipment production is a high tech business where sophisticated technologies are used for manufacturing and testing. This will be done through a series of steps: 1. India – A Defence Perspective (PDF, 4.5 MB) 2. • The main objective of the … 7.1 India and China: An Overview 3. In the past five years, the government has taken steps to reform defense production, and to make it more attractive for private players to invest in the country. Defence Industry 5.2 Defence Procurement Procedure 8. It’s a good thing, of course, that a country like India, which is still in need of ‘basic’ defence equipment, is not yet in a position to “outsource” such equipment to any foreign supplier. A. Indian Army’S Perspective on Future Challenges to National Security B. China’ s Defence Industrialisation - A",4,200
Indian defense,"defence spending, fiscal federalism, and economic growth in india: a new approach","defence spending, fiscal federalism, and economic growth in india: a new approach
The authors present a dynamic model of fiscal relations between the Centre and the States in India. Their main finding is that the optimal tax burden is not determined by inter-state disparities, but by the elasticity of demand for public goods. The paper is relevant to current debates about the fiscal position of the Federal Government of Nigeria.
No Reference information available - sign in for access.",5,192
Indian defense,a study of defence material export in indiaan example to sustainable business through import substitution,"a study of defence material export in indiaan example to sustainable business through import substitution
The present study was conducted with the objective to assess the export of military material and services by Indian private defense companies. The study also aims to understand the factors affecting defense exports of the sector in India.
In the present day, Indian defense industry has been playing very vital role in the field of defense manufacturing for the country. India has achieved a high growth rate in this sector since the last decade and has also been exporting defense material to the various countries in recent years, thus contributing to its national economy. As per reports, defense export has increased significantly since 2009-10 to $ 1.5 billion in 2010-11, to around 5 per cent of India’s total export. In last five years the average growth in defense equipment exports has reached to a level of 22%, which is higher than growth of overall exports. It has now become a big opportunity to boost the economy and to create employment. Thus, it is an area of",6,197
Indian defense,civil defence with special reference to india.,"civil defence with special reference to india.pdf[PDF]
AIR DEFENCE - Ministry of Defence
The Indian Air Force has been the primary agency for the defence of the Nation from aerial and air – borne threats. Since its inception, the Indian A.I.R. Force is …
[PdF] Civil Defence with Special Reference... :
Civil Defence With Special Refence To India Pdf >>> Civil defence. 2010, 3rd edition. Civil defense. by. Indian military. Published in 2000 by Prentice.
civildefence withspecialrefence toindia pdf » Learn More
Download PDF Books Civil Protection (India) | [Free] E-Books,
Indian Airforce Civil Defense Pdf Free Download -->> >> DOWNLOAD. civil defence 4th edition by indian military pdf download civil defense civil ….
PDF Books: Download Free Ebooks & Magazines Legally
Free",7,200
Indian defense,role of defence forces in disaster management in indiaa review,"role of defence forces in disaster management in indiaa review of literature, role of indian armed forces and disaster response management pdf in indian context, the disaster risk reduction management framework (drr) and the indian. india disaster.
india, disaster, india - disaster relief, 2016, flood, drought, tsunami, earthquake, cyclone, indian army disaster.. a disaster that has occurred in our country, where the role played by the military is the most crucial. the main focus of this paper is to highlight the contribution of the armed.",8,180
Indian defense,indian air force in india's national defence 2032,"indian air force in india's national defence 2032 indian air... indian armed forces indian navy indian army indian coast guard indian merchant navy.... air chief marshal n.a. k. c. prahlada, chief of air staff (c.i.o.) - indian …
the indian military has an extensive presence in indian occupied jammu and kashmir. the military presence is a major source of political tension. indian forces have used the kargil conflict to occupy indian administered kasmir, a claim disputed by pakistan. india also claims control over pakistani administered j&k.
in 2013, indian government launched the indigenously built 5.45mm tavor rifle “tar-21” as the next generation assault rifle for the indian security forces which has been named as ""tarang"". this assault rifles have already been deployed in the border areas and are being issued to security force men. [7]
a'read",9,196
