Category,Prompt,Generated Text,i,MAX_LEN
Indian infrastructure,Infrastructure in India,"Infrastructure in India: An Analysis of Public-Private Partnership in Roads
Public-private partnership (PPP) is a concept that has gained momentum globally as an alternative to traditional government-funded infrastructure development and financing. This paper analyses the development of the Indian PPP road sector and the challenges faced by PPP projects. It also discusses the role of government in the road infrastructure sector. The paper further analyses how the various components of PPP, i.e. concession, private investment, public sector investment are evolving and what challenges they face at the national and regional level.
This paper is part of a larger project funded by the Deutsche Gesellschaft für Internationale Zusammenarbeit - GIZ, the United Kingdom's Department for International Development – DfID, and Deutsche Bank AG.",0,186
Indian infrastructure,Public-private Partership in Indian Infrastructure Development: Issues and Options,"Public-private Partership in Indian Infrastructure Development: Issues and Options
- Details
-.
",1,185
Indian infrastructure,India infrastructure database 2005,"India infrastructure database 2005-2006
Expand view
This is the fourth edition of the India Infrastructure Database. It aims at providing information and data on the current status of India's infrastructure in terms of its quality, quantity and accessibility. The database provides a comprehensive account of infrastructure facilities and services at the national, state and municipal levels. These data are presented both in tabular and map form
The database consists of 12 tables covering all types of infrastructural facilities available in India. A summary of these tables follows :
1) Total Infrastructure Facilities by Category (Table 1): This table provides data in the form of a summary for all the infrastructure categories.
2) Roads - National & State Level ; and Railways, National and State – by Length;, 3) Airports 4) Telephony -- State and National Level;
5) Water Supply",2,181
Indian infrastructure,The significance and performance of infrastructure in India,"The significance and performance of infrastructure in India’s economy is well documented. In fact, infrastructure accounts for over 50% of the gross domestic product of India and about 30% to 40% share of its labour force is related to the infrastructure sector, which is why infrastructure projects play a key role in job creation and economic growth.
However, the government’ s focus has always been on improving connectivity and infrastructure. This is the reason why, even in the midst of a pandemic, work has been undertaken on a large-scale and has not been hampered in any way. It is only a matter of time before the country is back on its feet once more. But the pandemic has also exposed some weaknesses, including the lack of digital infrastructure and a robust IT backbone. These are now at the top of everyone’S list of priorities. The government needs to focus more on the digital economy. There is a need for a digital transformation of our society, economy and governance.",3,191
Indian infrastructure,"Infrastructure, externalities, and economic development: A study of the Indian manufacturing industry","Infrastructure, externalities, and economic development: A study of the Indian manufacturing industry
AbstractThis paper analyzes the impact of government infrastructure on the location choice of manufacturing firms, the role of transport and infrastructure in the transmission of external spillovers of pollution and the relationship between the development of infrastructure and regional industrialization. We use the Census of Manufacturing Industries in India to study the determinants of location and capital structure, as well as the effects of regional differences in infrastructure quality on industrial location. The results confirm that there is a relationship of causation between infrastructure investment and industrial growth. However, there does not seem to be any direct relationship in terms of a positive impact on manufacturing employment. Furthermore, it seems to imply that the quality of roads is the most significant determinant of industrial development. Finally, we also show that infrastructure has a strong impact in reducing the level of environmental pollution generated. This implies that investment in roads may be a more efficient way of improving the environment rather than investment to improve the efficiency of production: 111",4,189
Indian infrastructure,Health infrastructure in rural India,"Health infrastructure in rural India is abysmal and a major hindrance in providing quality healthcare to the population. To address these challenges, The Centre for Community Medicine, Christian Medical College, Vellore (CCMC) in association with the Christian Life Mission – India & Sri Lanka (‘CLM’) has been carrying on a project of providing free medical care to underprivileged patients in 12 villages in and around Kumbakonam in Thanjavur, Tamil Nadu. The project is funded entirely by CCMC and CLM.
The aim of the project was to provide free healthcare services to 2000 rural families in the villages covered by the Project through primary healthcare centres at the village level, and also to conduct health awareness camps in these villages.",5,200
Indian infrastructure,The Role of Development Finance Institutions in Infrastructure Development: What Nigeria can Learn from Bndes and the Indian Infrastructure Finance,"The Role of Development Finance Institutions in Infrastructure Development: What Nigeria can Learn from Bndes and the Indian Infrastructure Finance Company
Abstract
This paper examines the development finance institutions (DFI) in general and infrastructure development financial intermediation specifically with emphasis on the Brazilian National Development Bank ‘BNDE’ in particular. It examines DFIs role in the infrastructure value chain from the perspective of infrastructure funding in Brazil and India.
The paper argues that DFEs can play key role as catalysts of economic growth in developing countries through infrastructure financing. This can be done by providing financial guarantees or by directly funding the construction of projects. DFAs provide financial guarantee to private and public investors for financing infrastructure projects in a country where there is lack of institutional financing or a weak credit rating system. In addition, the paper shows that infrastructure investment can create employment and increase productivity. The paper also suggests ways of promoting infrastructure in Nigeria in order for the country to benefit from such projects as is the case with China and South Korea. These countries are the most successful",6,186
Indian infrastructure,Exploring the relationship between organizational structure and knowledge retention: a study of the Indian infrastructure consulting sector,"Exploring the relationship between organizational structure and knowledge retention: a study of the Indian infrastructure consulting sector
Abstract
In the recent decade, the consulting and outsourcing sector has become a key contributor to the growth of Indian economy and it plays a significant role in the overall growth. The consulting industry is one of most profitable sectors in India. However, in such competitive industry, knowledge has always been a crucial factor. This is why, there is a great need to understand how the organization structure affect the knowledge of employees. There is also much research on the organizational structures; however, it is limited in its application to other sectors. Therefore, with a view to explore the role of organizational design on knowledge management in this sector, a case study has been conducted on Infrastructure consulting companies. It is found that the structure of organization has the significant relationship on Knowledge retention.
KeywordsStructural equation modelling Knowledge management Structural equation model Consulting industry Indian consulting firms
References
- Agarwal, A., & Singh, N. (2008). The impact of human resource practices and culture on",7,197
Indian infrastructure,The work of waste: inside India's infraeconomy,"The work of waste: inside India's infraeconomy by Arunima Sinha
The waste that India generates is a treasure trove of valuable resources. Yet it is mostly discarded, sold at a low price and sent to landfills. Arumima has a solution.
Arunika Sinh has spent more than a decade in India, and has worked with many of the country'...
This is an interesting book that takes a different angle on the waste management problem and looks at it from a business point of view. It is based on a year-long research project in which Aruna travelled across the sub-continent and spent time in landfill and incinerator sites. She interviewed people at all levels of society, from politicians to the people who run informal waste collection and disposal services. This book presents the case for rethinking India’s waste system as a commercial venture. In her view, we need to look at waste as an asset with economic value. For example she notes (p13) that",8,196
Indian infrastructure,How do different categories of infrastructure affect development? Evidence from Indian states,"How do different categories of infrastructure affect development? Evidence from Indian states
Date2012-12-01
Author
Bhandari, A.
Mukherjee, T.K.S.P. (Tarun Kumar)
MetadataShow full item record
Abstract
The paper studies development effects of investment in different infrastructure categories in Indian state. We find that investment on education, communication and irrigation infrastructure increases growth. Investment in energy and transport infrastructure does increase growth to some extent but investment effects are not robust. Overall, infrastructure investment is found to be highly pro-poor in terms of reducing inequality. These findings have important policy implications.",9,190
