Category,Prompt,Generated Text,i,MAX_LEN
Indian defence,"Indian defence minister AK Antony said on Thursday India would not take up China's ""irrelevant and misplaced"" objections to India' s decision to raise an issue about 'one China policy' during his meeting with the visiting Chinese defence minster.
The minister told reporters that China should understand its place as a “regional power”.
“They are trying to become a global power, but they have to understand their role. We will not get into a discussion with China about the so called one China issue,” he said.",0,190
Indian defence,"Indian defence minister to visit Pakistan for talks
Pakistan and India agreed to start the talks, aimed at ending decades of hostility between their two nations, at a meeting in Abu Dhabi last month
The defence ministers of India and Pakistan, who have pledged to begin a war dialogue, will meet on Friday to discuss a number of issues.
Shukrani Lal, a foreign ministry spokesperson, confirmed the meeting would take place in Islamabad but declined to give further details of the agenda. The meeting comes after Indian Defence Minister Manohar Parrikar visited Islamabad last week. Mr Parikkar and his Pakistani counterpart Khwaja Asif pledged during a three-way India-Pakistan-UAE meeting on 7 September to work together to improve relations and establish a defence dialogue.",1,198
Indian defence,"Indian defence minister Arun Jaitley said on Thursday that the country is ""not afraid"" of Pakistan and its army chief, Gen Raheel Sharif, will soon visit India in a bid to improve ties, a media report said.
""We will welcome our neighbour (Pakistan) and we are not afraid of anyone, including the army. The army has a different job to do,"" JITLEY said at a press conference here., 'If you want to talk, talk.' And we will see what the outcome of the talks is,"" he said when asked about the ongoing talks between India and Pakistan at the Wagah border to stop cross-LoC firing.",2,181
Indian defence,"Indian defence analyst Major General Gurmeet Kanwal says Pakistan is not a threat to India as far as the conventional war is concerned.
“Pakistan can’t take on India. It can take some tactical steps to harass India, but can never go beyond that, he told IBN 18 in an exclusive interview.",3,191
Indian defence,"Indian defence minister Manohar Parrikar on Tuesday announced that “a lot of things are happening” in Pakistan and the neighbouring country is now a ‘real security threat’. He was addressing an event organised by the Observer Research Foundation (ORF) here.
“A lot many things happening in that country – we will not be able to go on with this status quo. I am not saying it openly, but this is a real security challenge,” Parirkar said. He, however, did not elaborate what exactly the ’security challenges’ were. Parikkar also stressed upon the fact that there is no change in the Indo-Pak relationship. ”The Indo Pak relationship is different from what you think,” he added. The minister was speaking at a session on 'India’s New Global Strategy’.
""Pakistan is our next door neighbour. We will continue to have a relationship with Pakistan. But we should realise that Pakistan is not India",4,196
Indian defence,"Indian defence minister Manohar Parrikar on Monday said a decision on the issue of ‘one rank one pension’ (OROP) will be taken only after the Supreme Court’s verdict, adding that all other issues will come later.
“As far as OROP for defence pensioners is concerned, it is a Supreme court matter, so we will wait until the SC’ s verdict is out on 28 July,” he added. “But we have a lot of issues to resolve, like the 7th Pay Commission issue.”
He said the government has also taken some steps to provide relief to the armed forces pensioner. The minister also said that government was also working on a proposal that the pension amount could be fixed at 50 per cent of last drawn salary. He also ruled out an automatic hike in pension, saying the decision is with the Defence Ministry.",5,180
Indian defence,"Indian defence is a big sector in India. India is one of the largest arms importers in the world, and has a large and growing domestic arms industry. The Indian defence sector has been one area of Indian industry that has attracted the attention of foreign investors in recent years. With a growing economy, a stable political climate, rising incomes and greater economic integration of India to the global economy the Indian market is set to see an upturn in foreign investment in defence related businesses.
According to data published by the Department of Industrial Policy and Promotion (DIPP) of Ministry of Commerce, the defence manufacturing sector is the 4th largest contributor to total manufacturing output in terms of value. It accounted for 1.5 percent of GDP and 0.8 percent exports. According to a joint report from Frost-and-Sullivan and DIPP India’s defence market would be worth Rs. 2, 00,000 Crores over the next ten years
The Indian Government has",6,197
Indian defence,"Indian defence budget 2014 to be higher than $35 bn: AntonyApril 8th, 2009 - 12:56 pm ICT by IANS
New Delhi, April 9(IANS) Defence Minister A.K. Antonia Thursday said the 11th five-year plan will be a watershed in the country’s defence modernisation process and the defence allocation for ‘14 will definitely be more than Rs.35 billion announced for this fiscal year.
“The defence ministry’S defence plan for the current financial year has seen a 50 percent hike to meet the challenges that face us. This is the first time we have done so in a single year and we are very hopeful that with the government’A commitment to defence and its own resolve, our plan can be successfully implemented,” Antoney told parliament.",7,180
Indian defence,"Indian defence minister AK Antony has told an Australian paper that China and Russia have been “unhelpful” in trying to resolve tensions in the South China Sea.
Antony spoke of the need to develop ‘rules to govern behaviour in contested waters’.
The comments come in an exclusive interview with The New Yorker. Anttony says the US has.”
Asked for a prediction about how long the dispute will take to be resolved, Antoni said “…if we don’t do something soon, we are not going to have a South-China Sea”. He added that the issue had been going for 200 years, and the countries had to 'work out the way forward'.
On how to solve the crisis he said:
.”",8,194
Indian defence,"Indian defence ministry’s decision to ban Chinese mobile application, TikTok for security reasons is not a new development. In July this year, the Indian Army had banned use of TikTok.
Now, with India’ military banning of the popular China originated app, it has also made the app’ most popular Indian user base – the military and defence personnel ‘unavailable’ for its users. The app has now become “uninstallable” for them. But this doesn’t come as a surprise for the company, which has been working on making its app as independent as possible for users and countries like these. As of now, all the TikTok users in India can download the latest version, however, they are unable to access it as it needs an Indian mobile number to verify the identity, and since all Indian defence forces use.mil email ids to register, these are not able to log in. However, there is a work around, as reported by NDTV, that can",9,198
