Category,Prompt,Generated Text,i,MAX_LEN
Indian infrastructure,"Indian infrastructure giant Gammon India is planning to build its own power plants to meet the energy needs of its infrastructure projects, as it looks to cash on the government's recent move to liberalise the sector, an official said.
The company' s infrastructure arm GMR Infrastructure (GIL) will invest about Rs 5,000 crore in setting up three to five power projects of a combined capacity of 1,400-1.600 MW over the next three years, a top executive of the company said here.",0,182
Indian infrastructure,"Indian infrastructure is in a very poor state, and the Indian Railways are no exception to that. The railway system is so old that some railway lines are in use which were built in the 19th century! With the increasing load and demand for passenger and freight transport, the condition of the railway tracks has deteriorated further.
The Railway budget 2016-17 which was presented in parliament by the minister of railways Suresh Prabhu, has promised the development and rejuvenation of Indian railroads. It is the first-time budget which promises to spend on modernising railway infrastructure. This budget has a lot of promises, especially towards the modernization of railway stations. Railway stations are the nerve centres of a rail network. They are where most passengers alight or board their journeys. With 8,200 stations all around the country, Indian railway network requires a huge infrastructure upgrade. Some of these",1,181
Indian infrastructure,"Indian infrastructure sector, particularly the roads and infrastructure segment, is witnessing a rapid growth in infrastructure investments in the last few years, driven by the government’s push for infrastructure development. As the sector is a key contributor to the country’ s GDP, it is important to understand the drivers of growth of the same.
The infrastructure space has been a preferred destination for private equity/venture capital investments. In the first nine months of FY14, the infrastructure industry has witnessed an increase in investments by more than 50% from the year-ago period. The investment activity in FY13 had been driven primarily by large infrastructure projects, which attracted a significant amount of private investments, whereas in this period, small-sized projects have witnessed more private participation. While the investments have been largely focused on the road sector as compared to other infrastructure sectors, there was also an increasing trend seen during the nine-month period in investment in water, oil and gas,",2,188
Indian infrastructure,"Indian infrastructure is in the news again, this time for its poor state. According to a World Bank study, India’s infrastructure has slipped down from its 2007 rank of 55 to 68, with 15 countries having a better ranking than India.
While some of this has to do with the fact that other developing countries have been able to catch up with India in recent years, the main reason for India slipping down on the list is the poor infrastructure in rural areas of India, which is also the cause of its slow growth rate. The government has acknowledged this and is trying to improve the situation with initiatives such as the National Rural Drinking Water Programme (National Rural Water and Sanitation Programme).
But the biggest challenge facing Indian infrastructure remains its lack of proper planning. Infrastructure planning in India has been done in such a way that it is unable to take into account the rapid growth of the population",3,181
Indian infrastructure,"Indian infrastructure sector is expected to witness a massive investment of $1 trillion in the next 10 years. This is a significant development and a huge opportunity to invest in this sector, but where to start?
The first question that will strike your mind is that, where will I get such kind of funds that is required to make such investment in infrastructure. The answer to this question is, you don’t need such a big amount (in fact a very small amount), and you can start investing in Infrastructure sector with as low as Rs 5000.
You can invest via mutual fund route or can directly invest through IPO or by buying bonds of PSU’s or you could also make investment via real estate route. If you are an active investor, then you should go for direct investments and if you want to reduce risk in your portfolio then go with the mutual funds. In this article, I have discussed the various ways of making investment into infrastructure space. Before we discuss",4,198
Indian infrastructure,"Indian infrastructure developer GMR Infrastructure Limited said on Monday it has agreed to sell its entire equity holdings of 10% each in the two airports of the state-run Airports Authority of India (AAI).
The total equity sale of Rs. 4,600 crore is expected to generate proceeds of about Rs 5,000 crore, GML said in a statement.
GMR Air Infrastructure, which owns and operates the airports in Delhi and Bangalore, has entered into an share purchase agreement with AAI and the deal is subject to approval from the government, the statement said, without giving any time frames.",5,180
Indian infrastructure,"Indian infrastructure firm Shapoorji Pallonji Infrastructure Consortium (SPIC) on Tuesday said it plans to set up solar projects with an installed capacity of up to 500 megawatt in the next five years.
SPI Infrastructure, a subsidiary of Shapooji, aims to build solar farms with 100-200 MW capacity initially in Gujarat, Karnataka and Maharashtra. SPI will also invest in grid-connected solar power projects. It has already signed a Memorandum of Understanding for developing an 11-MW solar farm in Andhra Pradesh. The company has also tied up with Tata Power for solar energy projects in Tamil Nadu and Rajasthan.",6,185
Indian infrastructure,"Indian infrastructure sector has been growing at the fastest pace, with the highest investment growth rate, compared to other countries like China.
According to data released by the United Nations Conference on Trade and Development (UNCTAD), India’s infrastructure investment reached $1.1 trillion in 2019, up 5%, compared with a 4% growth recorded in China ($1,5 trillion). China remains the world’ biggest infrastructure investor. India, however, has become the third largest investor with 6.4%. The United States is the second largest, followed by China in the first place
“India, China and the rest of Asia Pacific continue to invest at a much higher pace in infrastructure as their economies are growing faster and are more exposed to infrastructure constraints,” UNCTad stated. “In 2030, the region will require 1 billion additional housing and urban dwellers, as well as 3 trillion square meters of built-up space to house and provide",7,199
Indian infrastructure,"Indian infrastructure sector is one of the fastest growing in the world.
As of 2015, the sector accounted for 6.6% of India's gross domestic product (GDP), and is forecast to be the second fastest-growing in Asia after China' s. The country' 'needs $1 trillion investment over the next 10 years in infrastructure. According to a report by the World Economic Forum, India ranks 85 out of about 140 countries with regards to infrastructure quality, which is 5 notches lower from its 80 rank last year. [2]
India'' needs 1,000 million USD investment in power and transportation infrastructure every year, and only about half of this sum is available from the public sector. As of January 2009, only around 7% was being met. This leaves a gap of nearly 900, 000,",8,183
Indian infrastructure,"Indian infrastructure company Larsen & Toubro has won a $500m contract for a power distribution system that would provide uninterrupted power supply to all consumers.
L&T is part of a consortium led by the UK’s National Grid Electricity System Operator. The consortium was awarded the contract by India’",9,188
