Category,Prompt,Generated Text,i,MAX_LEN
Indian infrastructure,Infrastructure in India,"Infrastructure in India: A New Dawn
India is set to be the fastest growing major economy in the world in 2018. The government’s policy initiatives to improve infrastructure, increase ease of doing business and focus on manufacturing, coupled with the continued economic growth, will drive the need for more efficient, cost effective and reliable infrastructural development.
The country’ s infrastruc-ture sector is expected to receive a boost from the government, which has announced a slew of initi-atives in its Union Budget 17-108, including a national highway development fund, a highway asset recycling fund and a rural roads development agency. It has also set aside Rs. 4.97 lakh crore for the railways, R3.28 lacr for roads and highways and R69,0",0,182
Indian infrastructure,Public-private Partership in Indian Infrastructure Development: Issues and Options,"Public-private Partership in Indian Infrastructure Development: Issues and Options
The government of India has embarked on a massive infrastructure development program to accelerate economic growth and reduce poverty. To implement this program, the government has initiated public- private partnerships (PPPs) in the infrastructural sector. The paper examines the role of public and private sectors in infrastruc- ture development in India. It also discusses the issues and options for PPPs in this sector, and provides recommendations for improving the PPPS in In- dia.
Public-Private Partnership in Education: A Policy Analysis
This paper analyzes the policy issues involved in developing public private part- nerships in education in Pakistan. Based on an extensive literature review, it discuss- es the challenges and opportunities in implementing P-P partnership programs in Pak- istan. In particular, this paper focus",1,180
Indian infrastructure,India infrastructure database 2005,"India infrastructure database 2005
Mahesh Vyas, Shubha Chakravarty, Neerja Chauhan, Amit Kapoor, and Vivek Chandrashekhar
The India Infrastructure Database is a unique repository of information on infrastructural assets in the country. The database covers 1,624 infrastruc-ture projects in 54 sectors, with a total investment of Rs 3,352,046 crore (US$ 76.5 billion). The projects are spread across 633 districts in India.
This database is the result of a joint initiative by the Indicus Foundation and the Institute for Competitiveness. It is based on the data collected by IndusInd Bank and its subsidiaries for the purpose of project finance. This database will be updated every year to provide a comprehensive picture of the infrastru-cture sector in terms of invest",2,200
Indian infrastructure,The significance and performance of infrastructure in India,"The significance and performance of infrastructure in India
Infrastructure is one of the most important sectors of an economy. It is an important factor in the growth of any economy and has a significant impact on the lives of people. Infrastructures are the basic facilities that are required to sustain the economy of a country and they play a crucial role in improving the quality of life.
The infrastructural facilities of India are one-of-a-kind and have been developed over the years. India is a developing country that has been able to develop its infrastruc­ture over time. The infrastru­cture of Ind­ia is divided into three categories: physical, social, and economic infrastr­ucture. Physical infrastruture is the physical infrastrut­ure that is needed for the development of industries and the provision of services. Social infrastrur­e is required for social welfare and health care. Economic infrastrure",3,188
Indian infrastructure,"Infrastructure, externalities, and economic development: A study of the Indian manufacturing industry","Infrastructure, externalities, and economic development: A study of the Indian manufacturing industry
Infrastructural services are an important input in the production of manufactured goods. This paper examines the role of infrastructure in economic growth and development. Using a cross-sectional data set for 188 manufactures from 31 states of India, it finds that the share of external inputs in total manufacture value added is higher in manufacturers using more infrastructures. The study also finds a positive and significant relationship between the provision of public infrastruncture and the manufacturer's share in output.
Dive into the research topics of 'In infrastrcture, externaities and ecomomic development : A stud of Indian manufacring industry'. Together they form a unique fingerprint. [Résumé]
Public Investment Business & Economics 66%
Share of Output Business& Economic Development Economies Business Economy & Business
Manufacturing Industry Business and Econom... Business",4,198
Indian infrastructure,Health infrastructure in rural India,"Health infrastructure in rural India: A case study of the National Rural Health Mission
India has the largest population of people living in extreme poverty in the world. The government of India has launched a number of initiatives to improve health care for the rural poor. This paper uses the case of one of these initiative, the national rural health mission, to examine the challenges of improving health infrastructures in India.
The paper focuses on the development of health facilities in 12 districts in Rajasthan, India, which was chosen as one district from each of three regions of Rajastan. These districts were selected because of their different geographical, demographic, and socio-economic conditions. It also focus on four villages in each district. A total of 48 villages were studied. Data were collected through questionnaires, focus group discussions, key informant interviews, observations, secondary sources, etc",5,189
Indian infrastructure,The Role of Development Finance Institutions in Infrastructure Development: What Nigeria can Learn from Bndes and the Indian Infrastructure Finance,"The Role of Development Finance Institutions in Infrastructure Development: What Nigeria can Learn from Bndes and the Indian Infrastructure Finance Company
The RoLE OF development finance institutions in infrastructure development: what nigeria cAn LEARN FROM BNDES AND THE INDIAN infrastrUcture finANCE COMPANY
Author: Oluwaseun Adesina
Development Financial Institution (DFI) is a financial institution set up to finances economic development in a country. The need for DFIs to be set-up in Nigerian has been identified by the government, but the issue of its effectiveness has not been fully addressed. This study therefore examined the role of DFI in economic growth and development. Specifically, the study examines the impact of BNDES in Brazil’s economy and that of IIFCL in India’ s economy. To achieve this, secondary data were used. Data were obtained from the World Bank, Biz/India and other reputable sources. These data are then analysed using",6,196
Indian infrastructure,Exploring the relationship between organizational structure and knowledge retention: a study of the Indian infrastructure consulting sector,"Exploring the relationship between organizational structure and knowledge retention: a study of the Indian infrastructure consulting sector
Suman, D.
Citation: Suman,D. (2015). Exlplring the Relationship between Organizational Structure and Knowledge Retention : A Study of Indian Infrastructure Consulting Sector. International Journal of Scientific & Engineering Research, 6(11), 1302-12.",7,197
Indian infrastructure,The work of waste: inside India's infra‐economy,"The work of waste: inside India's infra‐economy
Author: Lal, Ashish
Journal: The Journal of Peasant Studies
Subjects: Waste management
Abstract: 'Waste' is a key term in the literature on globalisation and development. It is often used to describe the 'wasteful' production of the global North, and the inefficiency of its recycling. In contrast, the waste of global South is seen as a valuable resource. This article argues that these opposing views of 'global waste' are both wrong. Rather than being a problem to be solved, waste is central to the functioning of contemporary capitalism. Drawing on ethnographic fieldwork in Delhi, it shows that waste management is not just a technical problem of recycle, reuse or dispose, but a political one of how wastefulness is defined. The article highlights how 'infrastructure' (defined here as the political, legal",8,191
Indian infrastructure,How do different categories of infrastructure affect development? Evidence from Indian states,"How do different categories of infrastructure affect development? Evidence from Indian states
The Indian economy has been growing at a rate of 7.5% per annum for the past decade. This growth has led to a significant increase in infrastructural development in the country, with the government allocating 6% of the GDP to infrastruc-tural expenditure in 2011-12. The Indian government has recently announced a National Infrastructure Pipeline (NIP) of Rs. 102 lakh crores. While the overall NIP is a welcome initiative, there is little information on the sector-wise allocation of funds.
This column presents an analysis of sectoral allocation in India’s infrastru-cture expen-diture. It finds that the share of transport and communications in total infrastruce expendi-ure has increased over the years, while the other categories have seen a decline.",9,187
Indian infrastructure,Electric vehicles charging in India: Infrastructure planning and policy aspects,"Electric vehicles charging in India: Infrastructure planning and policy aspects
Charging infrastructure is a key aspect of the EV ecosystem. Inadequate chargers are a bottleneck for the adoption of E-mobility. There are several ways in which the government can support the rollout of chargin...
Electric vehicles in Indian cities: Opportunities and challenges
The government of India has set a target of having 30% of all new vehicles sold in the country by 2031 to be electric vehicles (EVs). This target is likely to impact the urban environment in terms of air pollution,...",10,193
