Prompt,Generated Text,i,MAX_LEN
Indian defense,"Indian defense minister: 'We are not looking for war' with Pakistan
India's Defence Minister Manohar Parrikar said that his country is not seeking war with neighboring Pakistan.
""We have no desire to go to war. We are trying to resolve the Kashmir issue through talks,"" Parikkar said in a statement. ""We want to maintain friendly relations with all our neighbors. But we are also aware of the fact that our neighbor is trying hard to disturb peace in the region.""
The minister' comments come in response to the recent statement by Pakistan'S Prime Minister Nawaz Sharif, who said his government would not allow ""Indian aggression"" in Kahsmir. The statement came after Indian troops killed two Pakistani soldiers in an exchange of fire in Indian Khasmir. Shaif also said he was willing to ""go to any extent"" to defend the",0,191
Indian defense,"Indian defense minister: China’s aggressive actions in Ladakh unacceptable
India’ s defense ministry said on Friday that China s aggression in the Ladak region was unreasonable and unjustifiable.
The statement comes a day after the Indian military said it had carried out “preemptive” strikes on a Chinese army camp in a disputed Himalayan border area, killing at least two soldiers. China said its troops had also been killed in clashes. It is the first time India has launched a military strike against China since the two nations went to war in 1962.",1,197
Indian defense,"Indian defense minister, army chief meet over border tension
Indian Defense Minister Manohar Parrikar (L) and Indian Army Chief General Dalbir Singh (R) attend a press conference in New Delhi on April 24, 15. AFP PHOTO
Defense minister Manmohan Parikar and army Chief Dalvir Singh met on Monday to discuss the situation along the border with Pakistan.
The meeting comes after a ceasefire violation by Pakistan that left two Indian soldiers dead. The Indian army said the violations were in the Poonch sector of Jammu and Kashmir. Pakistan denied any violating of the ceasfire.",2,188
Indian defense,"Indian defense minister, who had a stroke, is in critical condition
A senior Indian official said that Defense Minister Rajnath Singh, 68, was in a critical but stable condition after suffering a mild stroke.
The official, speaking on condition of anonymity, told Reuters that the minister was being kept in the intensive care unit of a hospital in New Delhi. The minister’s office said he was admitted to the hospital on Sunday after he felt unwell. A spokesperson for the office did not immediately respond to a request for further comment. Singh is also the head of the ruling Bharatiya Janata Party.",3,190
Indian defense,"Indian defense minister to visit Russia to discuss cooperation
Indian Defense Minister Rajnath Singh will visit Moscow on November 29-30 to meet with his Russian counterpart, Sergei Shoigu, to hold talks on bilateral defense co-operation, the Indian Defence Ministry said on Friday.
“The visit of Def. Min. Rajanth Singh to Russia will be from 3rd November to 4th November. He will hold bilat. tal. with Def Min Shoygu on 1st November,” the ministry said in a statement. “The two Def Ministers will discuss bilate. defense ties and cooperate on defense projects,” it added. The Indian minister will also visit the city of Kazan in the Republic of Tatarstan, where he will participate in an international conference on the development of military-technical coop. between Russia and India.",4,198
Indian defense,"Indian defense minister Manohar Parrikar on Monday said the government would consider all options, including the acquisition of nuclear submarines, to enhance the country's strategic capabilities.
Indian defense ministry sources said India was planning to acquire a nuclear-powered submarine. The sources told the Press Trust of India news agency that the decision was taken at a meeting of the Cabinet Committee on Security, the highest decision-making body on defense issues. India' s navy already has two conventional sub-mariners.",5,189
Indian defense,"Indian defense minister says Kashmir ‘temporarily’ under central rule
Indian defense Minister Nirmala Sitharaman said on Monday that the Indian-administered part of Kargil is “tempo...
Pakistan and India trade gunfire across Kartarpur Corridor
On Thursday, Pakistani troops opened fire at Indian border posts in the Kandi sector, close to the border with India...",6,194
Indian defense,"Indian defense minister to visit Pakistan in November
Lahore [Pakistan], Oct 18 (ANI): Indian Defense Minister Nirmala Sitharaman will be visiting Pakistan on November 25 to attend the Heart of Asia Conference in Amritsar.
According to a report by the Dawn, the decision to send Sitaraman to the conference was taken by Prime Minister Narendra Modi. The conference is scheduled to take place on December 3 and 4. Setharam will also be attending the Shanghai Cooperation Organization (SCO) meeting in China on the same day.",7,197
Indian defense,"Indian defense minister Rajnath Singh on Wednesday said that the country’s armed forces will be equipped with “cutting-edge” weapons and technology to deal with the challenges posed by the Chinese military.
“The Indian Armed Forces are fully equipt to face any challenge poses by China,” Singh told the media in New Delhi. “We have the ability to defeat the enemy in any kind of battle.”
The defense ministry said in a statement that Singh’ “assurance came on a day when India and China are locked in their longest-ever standoff in the Ladakh sector of Jammu and Kashmir.” The two sides have been locked at a stalemate since April 2021. Chinese and Indian troops have held 13 rounds of talks so far. The last round of the military talsk was held in November. China’ s People’’ Liberation Army (P",8,194
Indian defense,"Indian defense minister Rajnath Singh and his Chinese counterpart Wei Fenghe reviewed the situation in Ladakh in a phone call on Tuesday, the first such contact in more than two months.
Singh and Wei, who spoke on the phone for about 40 minutes, discussed the recent developments in eastern Ladak and the two sides agreed to continue the military and diplomatic talks to resolve the standoff in the region. The two defense chiefs also agreed that their respective militaries should maintain dialogue and communication through military commanders on ground and at the diplomacy level. “The two ministers agreed on continuing diplomatically and military talso to find a mutually acceptable solution to the ongoing situation,” a defense ministry statement said. Singh also called for restraint on both sides and urged the Chinese side to not take any aggressive action. He also asked China to respect India’s sovere",9,192
