Prompt,Generated Text,i,MAX_LEN
Indian economy,"Indian economy to grow 7.7% in 2018-19: IMF
The Indian economic growth is expected to remain strong at 6.9 per cent in the fiscal year 17-28, the International Monetary Fund (IMF) said in its latest report.
“The outlook for India’s economy is positive. Growth is projected to moderate to 8 per in fis 38 and 5.5 per year in FY39,” the IM said. The IM forecasts that the Indian growth will rise to a 9.6 per annum in five years. India will be the fastest growing major economy in terms of GDP growth, according to the report, titled ‘Global Economic Outlook: Gaining Momentum’. In the next fis, India is likely to become the second largest economy",0,185
Indian economy,"Indian economy has been growing at a rate of 8% in the past 2 years. The growth is being driven by the domestic demand, which is mainly led by a strong consumption. However, the consumption is not only limited to the household but is also driven from the corporate sector. With the growth in consumption, there has also been a growth of the disposable income, thereby resulting in a demand for housing.
The demand in real estate sector is increasing, as there is a need for more housing units, especially in urban areas. To fulfill this demand of housing, developers are coming up with new projects, where they are building residential complexes, commercial complex, shopping malls and other recreational facilities. This is leading to an increase in demand and supply of real estates, resulting into the increase of GDP. In the recent past, Govt. of India has taken various steps to improve",1,186
Indian economy,"Indian economy has witnessed an unprecedented growth over the last decade. The economy grew at a CAGR of 7.4% during 2001-11. This growth has been aided by a number of factors such as liberalization, increased FDI, globalization and rising per capita income. However, the economy is currently facing a slowdown and the growth rate is expected to be 6.5% in 12th plan.
The Indian Economy is facing the problem of high inflation. Inflation is a major concern for the Indian Government. High inflations are a serious problem as it can lead to loss of purchasing power of the common man. It can also lead the government to adopt unpopular measures such a raising interest rates or taxes. There are various causes of inflammation in the country. Some of",2,181
Indian economy,"Indian economy has been growing at a decent rate for the last few years. However, the growth is not uniform across the country. In fact, some parts of the economy have been lagging behind, and it is high time that these regions are given the attention they deserve.
One such region is the Indian agricultural sector. This sector is one of India’s largest and most important industries, accounting for about 15% of GDP and employing about one-third of all workers. Despite its importance, however, agriculture has lagged behind in terms of growth and development in recent years, with many farmers struggling to make ends meet. The Indian government has recognized this problem and is working to address it through a variety of initiatives, including the launch of a new agriculturally focused satellite.",3,194
Indian economy,"Indian economy may grow at 8% in 2010-11: Montek
India's economic growth may accelerate to 7.9-8 per cent in the current fiscal, 1.5 per-centage point higher than the previous year, Planning Commission Deputy Chairman MonteKalsi said on Monday.
""I think we will have a growth rate of 6.7 per cetn in this fisca, and in next fisacal year 09/1o we may have 4.2 per cen growth,"" Kalsi told reporters on the sidelines of a function to mark the 30th anniversary of the Plannning Commission. ""I hope we can achieve a higher growth in coming years.""
The economy grew at a slower-than-expected 5.8 percent in April-June quarter of this year as the global meltdown and the credit",4,198
Indian economy,"Indian economy has become one of the fastest growing in the world. The economic reforms undertaken by the Government of India in 1991 have ushered in a period of rapid economic growth. In recent years, India has achieved an average annual growth rate of more than 8 percent. India is the 6th largest economy in terms of nominal GDP and the third largest in purchasing power parity (PPP).
India is one the largest consumer markets in world and is projected to become the second largest by 2030. With a population of over 3 billion, the Indian consumer market is estimated to be worth $1 trillion.
The Indian government has taken several measures to promote foreign investment in India. These include liberalization of foreign direct investments (FDIs), removal of restrictions on foreign equity participation in certain sectors, and relaxation of rules governing repatriation. As a",5,196
Indian economy,"Indian economy to grow at 6.7% in 2015-16: PwC
The report also said that the government's thrust on infrastructure development will have a positive impact on the economy in the long term.
India'sgross domestic product (GDP) is expected to expand at a rate of 7.5 percent in fiscal 14-25 and 8.0 percent by fisca17- 30, according to a report by PWC. Photo: Mint
Gross Domestic Product ( GDP ) growth is estimated to be 5.3% for 4QFY18
Forex reserves dip by $593 mn to $390.66 bn
Economy to slow to 9% growth in FY21: RBI
Maharashtra'ss economic growth at",6,195
Indian economy,"Indian economy grows 11.2% in April-June
The Indian GDP growth rate for April to June 2021 was 8.4%.
India’s Gross Domestic Product (GDP) grew 7.5 per cent in the April - June quarter of 3019-22, the government said on Thursday.
According to the data released by the National Statistical Office, this is the highest growth in a quarter in 4 years. In the first quarter, GVA was recorded at 9.6 per. cent. The GDA of the country in this quarter is 5.3 per ​​cent more than the same quarter last year. This is higher than 6.0 percent growth estimated in advance. According to an estimate by Reuters, India’ s GDPA growth was expected to be 0.1 per.cent. in July-Se",7,198
Indian economy,"Indian economy to grow by 7.7% in 2015-16, says IMF
The International Monetary Fund (IMF) on Tuesday said that the Indian Economy will grow at 6.3 percent in the current fiscal year and is expected to pick up to 8 percent by the next fis...
Indian Economic Outlook: 10.5% Growth in FY14
According to the Economist Intelligence Unit (EIU), India’s economy is set to expand by a robust 9.2% this year, the fastest in Asia. The EIUs’ forecast for 5.8% growth in...
RBI Policy Review: Cash Reserve Ratio Cut By 0%
In its latest monetory policy, RBI has cut the cash reserve ratio (CRR) by half a percentage point to lower the cost of",8,198
Indian economy,"Indian economy to grow at 7.2% in 2018, 8% next year: IMF
The IMFC also welcomed India's new government' s commitment to fiscal consolidation, but called for a more ambitious fisca...
Japan'S PM Abe To Visit India On April 11-12
Prime Minister Narendra Modi will be meeting the Japanese Prime Minister Shinzo ABE on April,10,217 in New Delhi. ""I am...
March 31, is the deadline for the FCC to review the deal. Ajit Pai, the chairman of the Federal Communications Commission...",9,180
Indian economy,"Indian economy is expected to grow at 7.5-8% in 2016-17, the highest in the world, Prime Minister Narendra Modi said today.
""India's growth is on the rise and we are confident of achieving 8 per cent plus growth rate in coming years,"" Mod said at the World Economic Forum (WEF) Annual Meeting in Davos. ""I am happy to share that India' s GDP is projected to be 6.9 per year in current fiscal and 5.7 per in next fisca,"" he added.",10,197
Indian economy,"Indian economy is on a growth path, says Sitharaman
India’s economic growth is likely to be 7.6% in the current fiscal, Finance Minister Nirmala Sitaraman said.
She said the country’ s economy has been on the growth trajectory since the last two years and is expected to grow at 8% next year. The government is also focussing on job creation, she said at a business event in Delhi.",11,180
Indian economy,"Indian economy is in the midst of a crisis. The government has been struggling to meet its fiscal deficit target. With the economy slowing down, the government is facing a difficult task of raising funds.
The government had announced a slew of measures to boost the growth of the Indian Economy. However, these measures have failed to produce the desired results. As a result, India’s economy has slowed down. This has led to a decline in investment and employment. In this scenario, it is important for the central government to take steps to revive the economic growth. One of these steps is to increase the fiscus.",12,186
Indian economy,"Indian economy is poised for a bright future: Jaitley
India’s economy will continue to grow at a rate of 7.5 per cent, Finance Minister Arun Jailtley said today, adding that the country’ s growth trajectory will be “very different” from the rest of the world.
“We have a lot of confidence in the Indian story,” Jalitley told PTI in an interview. (Reuters)
He also said that India’ “demonetisation” move has “not had any impact” on the economy, but rather it has been “a positive” one. “Indian economy has a great future. I am quite optimistic about the future of Indian growth. We are poising for an even brighter future,” he said. Jaiyley’ comments come days after the International Monetary Fund (IMF) projected India to be the fastest growing economy in",13,196
Indian economy,"Indian economy to grow by 7.5% in 2019: IMF
The International Monetary Fund (IMF) has projected a 6.1% growth in the Indian GDP in FY21, which is 0.6 percentage point higher than the previous projection.
India's economy is expected to expand by a robust 4.8% this fiscal year, the IMFC said. (Reuters)
IMFC projecting 5.7% GST growth rate
GST to have a positive impact on India’s economic growth
Fiscal deficit for Fy22 pegged at 3.4%
“The Indian growth story is set to continue with the economy project to pick up to 8.2% next year and 9.0% by the end of the decade,” the statement said",14,187
Indian economy,"Indian economy has been growing at a very fast pace for the last couple of years and the country has emerged as one of the fastest growing economies in the world. India is a land of opportunities and offers a wide range of business opportunites for foreign investors.
India is one the largest and fast growing markets in world and there is no better time than now to invest in India. The government of India has taken several steps to attract foreign direct investment (FDI) in various sectors of economy. It has also introduced various policies and schemes to promote FDI in different sectos. These policies are aimed at making India a more attractive destination for FDIs. Some of these policies include:
The government has relaxed the rules for setting up a business in certain sektors such as retail, infrastructure, construction, hospitality, healthcare, etc. This has made it easier for investorsto",15,193
