Prompt,Generated Text,i,MAX_LEN
Indian infrastructure,"Indian infrastructure sector: Investment & financing opportunities
Indian infrastructural sector is poised for rapid growth. Infrastructure investment is expected to increase by 10% in the next five years. This will require an investments of US$ 2.5 trillion. The government has already approved a US $ 40 billion invest in infrastrucuture sector.
Investors are looking at the infrastrcture sector as a long term investement. They are focusing on projects in power, roads, ports and airports, urban infrastruction, water and sewage. Indian government is offering incentives to attract foreign investors. It is also providing tax inverstment allowance. These invesment opportunites are in line with the government's objective of making India a developed country by the year 3036.",0,186
Indian infrastructure,"Indian infrastructure firm Punj Lloyd Ltd has won a contract to build a 200-kilometre road in the southern African country of Zimbabwe, it said on Tuesday.
Punjlloyd, which has a market capitalisation of $180 million, said it had won the contract from the ZimRoads-Zimbabawe National Road Administration (ZINARA) consortium. The value of the project was not disclosed.",1,200
Indian infrastructure,"Indian infrastructure sector to grow by 7-8% in 2018-19: ICRA
India’s infrastructural development will be supported by the government’ budgetary allocation for the sector, which is expected to increase by about 12 per cent in FY17.
The infrastruture sector is estimated to see a growth of 6-7% during the current fiscal. (Reuters)
Infrastructure projects are estimated at around ₹14 lakh crore for Fiscal 8 (FY 08) and the pace of awarding is likely to be higher, given the large number of projects in the pipeline. The infrastrutrue sector growth is also expected at 5-6 per cnet in next fisical year. This is the view of the India Ratings and Research (Ind-Ra).",2,183
Indian infrastructure,"Indian infrastructure to get $1.4 trillion boost over 5 years
The Indian government will spend $227 billion on infrastructural development over the next five years.
India’s infrastrucure sector will receive a $43 billion boost in 2018-19. (Reuters)
In a major push to boost infrastrutural spending, the Indian Government will invest $312 billion over five fiscal years starting 1 April 30, 60% of which will be in the power sector. The government is also planning to spend around $50 billion in urban infrastrucre. A further $900 million will go to the railways. This is in addition to $65 billion to be spent on rural infrastrcture. “The government has set an ambitious target of increasing the share",3,181
Indian infrastructure,"Indian infrastructure sector has been growing at a robust rate, and it is estimated to reach USD 1 trillion by 2025. India’s infrastructural needs are estimated at US$1.5 trn for the next five years, of which US $500 billion would be in roads and highways, US$.5 billion in railways and US $.4 billion for ports and airports.
In the last 5 years the Indian economy has grown at 6.8% per annum, which is the fastest in the world. Infrastructure is one of the key drivers for this growth. The government has set an ambitious target of investing US Dollar 40bn in infrastrucure in 3 years. This is a huge opportunity for Indian companies to participate in this boom. It is also a great opportunity to",4,181
Indian infrastructure,"Indian infrastructure has witnessed a tremendous growth in the last few years, particularly in road sector. This growth has been possible only because of the contribution of various private players in this sector, who have invested heavily in building world class infrastructures.
The Indian road network has grown to 33 lakh kilometres, of which 22 laks kilometres are national highways. The Ministry of Road Transport and Highways (MoRTH) has set a target of 100 km of road construction per day to achieve the targeted 40,01,802 km road length by 5 years. To achieve this target, the MoR&H has planned to invest about Rs 7 lacs crore in next five years for the development of roads and high ways. It is also planning to set up 6 new National High ways and 9 new expressways in India. As per the estimates",5,191
Indian infrastructure,"Indian infrastructure is set to grow at a fast pace in the next decade, with the government targeting investment of US$1 trillion in infrastructural development in its 12th Five Year Plan. The government has already initiated several projects in this direction. It has launched the Pradhan Mantri Gram Sadak Yojana (PMGSY), which aims to provide all-weather roads to all villages in India by 2019.
The government also plans to build 300,025 kilometres of highways by the end of the 5th Plan period, which would increase the total length of roads in rural areas to 837,698 kilometres. This will also help in reducing the cost of transportation of agricultural produce from rural to urban areas. In addition, the National Highway Authority of India (NHAI) has planned to invest USD 41.",6,195
Indian infrastructure,"Indian infrastructure sector is one of the fastest growing sectors in India. The infrastructural development is a key component of India’s economic growth and plays a significant role in the overall development of a nation.
Infrastructure is the backbone of any country and it is very important for the development and growth of an economy. Infrastructures like roads, railways, power, airports, ports, dams, etc. are the foundation of economic development. India is among the top 5 countries in terms of infrastruture development with a Gross Domestic Product (GDP) of $2.4 trillion. It is expected that by 2030, India will have a share of 13% in global GDP. This will also help in creating new job opportunities for people. As per a report, the infrastrucutre sector in india is growing at 9.5% per annum. There is also",7,197
Indian infrastructure,"Indian infrastructure firm, IRCON, has been awarded a $126m contract for the construction of a 220kV transmission line in Oman.
IRCON has secured the contract from the Rural Areas Electricity Company (RAEC) in the Sultanate of Omana. The scope of work involves the design, supply, erection, testing and commissioning of 132k/2400V/50Hz transmission lines and substations. In addition, the company will also construct 48km of overhead transmission towers and 60km underground cables. Work is expected to be completed within 36 months.",8,199
Indian infrastructure,"Indian infrastructure sector is expected to grow at a CAGR of 11% to reach US$ 7 trillion by 2025.
Indian infrastructural sector has been witnessing a major boom in the past decade. The country has seen an unprecedented growth in infrastrucutre projects. As per the World Bank report, the Indian economy is poised to become the third largest in 5 years and will grow to USD 4.1 trn by the end of the deacade. Infrastructure is the backbone of any economy and India has a huge potential to be a global hub of infrastruture projects in coming years. India's infrastrcture sector, which contributes 8% of GDP, is likely to get a boost from the new government' s initiatives. There is a need to develop infrastrcuture in rural areas and to provide better services to the people. It is",9,197
