Category,Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian climate,Impact of climate change on Indian agriculture: a review,"Impact of climate change on Indian agriculture: a review
AbstractThe impact of increasing climate variability and climate changes on food security in the country has been discussed in this study. An attempt is made in order to understand the various changes in agricultural productivity which are taking place due to climate variation. This study has also reviewed the major climate impact on India’s agriculture and food system. It has highlighted the impacts of the climate and climatic variations on crops, livestock, fisheries and forest based livelihoods. The study finds that climate has a direct effect on the Indian crop yields. India is one of world’ most vulnerable economies to the vagaries of natural disasters. A number of disasters such as drought, floods, cyclonic storms, etc. have been reported from different parts of India, which have caused huge agricultural losses and affected the livelihoods of a large number.",0,198,0.5212121212121212,6.695090919789098,0.8723844230264962,0.05754971859277353,0.8333333333333334,0.8570212765957447,0.7659855434530329,42.19827586206897,52.29090909090909,50.481742804751654
Indian climate,"The predictive state: science, territory and the future of the Indian climate","The predictive state: science, territory and the future of the Indian climate conference
The Indian Prime Minister, Narendra Modi, has been a vocal advocate for action on climate change, particularly at the COP meetings and through the G7 and G20 forums.
However, the government’s approach to climate action has faced significant pushback from within, especially from the country’
s most populous state – Uttar Pradesh (UP), which is also the site of its largest coal-fired power plant. In 2017, UP’ s chief minister, Yogi Adityanath, took over and has since pursued a number of anti-environment initiatives, including an order to stop all tree-felling in the state. He’ also pushed for a controversial new state-level forest policy that allows for increased felling to be carried out by local villagers, and he launched the UP Solar Mission. Aditi Tandon, who is based at IIED and at India’S Jawaharlal",1,190,0.6318681318681318,8.524367141602664,0.9117844026116313,0.039032217237622596,0.8914285714285715,0.9091139240506326,0.8296734646499934,86.67490494296578,87.9010989010989,90.99452177817693
Indian climate,Water resources and climate change: An Indian perspective,"Water resources and climate change: An Indian perspective
The Indian monsoon is one of the largest and most influential climate systems affecting the global climate. The Indian summer monsoons, which are driven primarily by the tropical Pacific Ocean, play a significant role in regional climate and weather systems and also affect large areas of other continents through moisture transport and the associated atmospheric teleconnections. However, the mon So, it is critical that climate scientists, hydrologists and policy-makers work together to better understand and manage the potential impacts of future climate variability and change on Indian water resources systems.
This paper will first present the state of knowledge on climate impacts on water supply for the Indian region and then present key climate scenarios and their potential implications for India’s water availability and demand. Finally, this paper discusses the challenges of water demand and supply under future changes in climate in the face of increasing populations and rapid urbanization.",2,180,0.56,7.408103670980854,0.8877362008454198,0.05004988623368693,0.8628571428571429,0.8736423841059604,0.7744668121216637,63.68655454644205,57.674285714285716,62.71826470588235
Indian climate,Fractal dimensional analysis of Indian climatic dynamics,"Fractal dimensional analysis of Indian climatic dynamics
- 1Indian Institute of Tropical Meteorology, India
Abstract. The Indian subcontinent experiences extreme variability in temperature, precipitation, and wind fields. It is also the centre of origin of several climatic regimes of global significance. This variability is largely influenced by the Indian Ocean Dipole (IOD) and the South-Asian monsoon – the two major climate systems. However, the nature and intensity of these climatic systems are still not well understood in the context of IOD and monsoons. In the present study, we use the fractal properties of the IDFI and MDFD datasets, to quantify the dynamical complexity of climate. We find that the MDR has an intermediate range of spatial scale, while the IDDR is at a fine-scale. Furthermore, MDA has the highest range in its time scale.
Based on the time-space properties, it is evident that MDP and MPD are at the intermediate and fine ranges",3,198,0.5580110497237569,7.50727087709638,0.8877797734776209,0.049706024485297436,0.8514285714285714,0.8545222929936307,0.771325800564466,57.6107099879663,54.86740331491713,51.23661971830986
Indian climate,Temperature and rainfall extremes change under current and future global warming levels across Indian climate zones,"Temperature and rainfall extremes change under current and future global warming levels across Indian climate zones
By
Mamta Gupta,
Narendra K. Chaudhary, and
Rajeev Kumar
Posted
The study has been accepted for publication in the Journal of Climate.
Temperature extremes are increasing under global climate change due to the rising global mean temperature. While extreme temperature in India is increasing in all climatic zones, rainfall extreme in arid and semiarid zones has decreased. The study uses a new approach to quantify the spatial distribution of climate extremes and its changes under future climate scenario.",4,189,0.5462962962962963,5.67727764703132,0.8708720977925594,0.06350270171625788,0.86,0.8319047619047621,0.7387590443481573,55.572815533980574,42.50925925925926,40.37903225806451
Indian climate,Energy rating of different glazings for Indian climates,"Energy rating of different glazings for Indian climates: A review
Abstract :
In India, the glass and glass products industry is a rapidly growing segment with an expected annual growth rate of more than 15% in the next few years. The glass industry in India has come up with some new technologies in manufacturing glass, such as insulating glass to reduce heat transfer, low iron and low E glass for solar control etc.
With a wide spectrum of glass options available, it is essential to select appropriate glass in order to achieve the desired performance for the application. In order for a particular glass option to perform optimally, its energy efficiency, thermal performance should be taken into consideration. Thermal performance of a building is one of the essential factors for achieving energy saving and sustainable building, and hence energy ratings is given by the government of India. This study aims to review the various energy rating systems for different kinds of glazing, glass types, thicknesses and spacings. It also includes",5,187,0.5368421052631579,7.399857751122119,0.8814468448550337,0.05202543842186139,0.8742857142857143,0.8696385542168678,0.7891719032260738,59.63395638629284,55.71578947368421,54.3788337750852
Indian climate,Indian Ocean circulation and climate variability,"Indian Ocean circulation and climate variability on inter-annual to multi-decadal time scales
- 1Institute of Earth Sciences, Helmholtz-Zentrum Geesthacht (HZG), Leibniz Institute for Coastal Zone Research, 21502 Geeste, Germany
Correspondence: Stefan Rahmstorf [email protected]
The Indian Ocean has a strong influence on global climate through a large-scale heat exchange with the atmosphere. Its circulation is driven by the monsoons, which are the dominant mode of tropical ocean-atmosphere interaction. The monsoon circulation can be strongly modulated by external forcing, for example in response to changes in the atmospheric circulation due to greenhouse warming. In a recent study we have shown that the circulation in model simulations of the twentieth century is modelled realistically, but that there are large deviations from a realistic circulation that occur on multiyear to centennial time scale, and can only be explained by a non-",6,194,0.6107784431137725,7.892996971848196,0.9036690904282911,0.04333927013280893,0.8666666666666667,0.8744055944055945,0.8258942432041301,71.52008608321377,77.73053892215569,62.630795574288726
Indian climate,Performance evaluation of reference evapotranspiration equations across a range of Indian climates,"Performance evaluation of reference evapotranspiration equations across a range of Indian climates
The present study evaluates the performance of six reference equations for calculating reference evaporation from the surface of the soil. The study was conducted at four different sites in India, located in four distinct climatic zones: tropical (T), tropical wet...
- Auteur(s):
Kulkarni, S.M.; Srivastava, M.C.; Bhargava V., S.; Kumar, D.; Singh, N.P.; Gauri, A.
Hauterives, France, 2011, p. 5-8, ISBN 978-91-88111-02-6
Online resource",7,197,0.6578947368421053,7.024393586862705,0.9115935830349081,0.042980314285150284,0.7700000000000001,0.7600000000000002,0.7788481717410154,33.34313725490196,33.75438596491228,28.473769374893543
Indian climate,A bioclimatic analysis tool for investigation of the potential of passive cooling and heating strategies in a composite Indian climate,"A bioclimatic analysis tool for investigation of the potential of passive cooling and heating strategies in a composite Indian climate
Abstract.
KeywordsPassive strategies Climate biome Energy balance
Preview
Unable to display preview. Download preview PDF.",8,188,0.7857142857142857,5.092010548749033,0.935477963157255,0.03974869246788889,0.88,0.8422222222222223,0.7857142857142863,54.88,46.0,0.0
Indian climate,Indian climate change policy: Exploring a co-benefits based approach,"Indian climate change policy: Exploring a co-benefits based approach to enhance climate-smart agricultural and rural development
Date2013-12
Languageen
TypeWorking Paper
AccessibilityOpen Access
MetadataShow full item record
Citation
Rao, M., Srivastava, S. and Rao, A. 2014. Indian climate...",9,199,0.7192982456140351,5.430582663966679,0.9185072908297027,0.04641145632163287,0.78,0.7696969696969695,0.7576353031256942,48.45,34.824561403508774,20.197031039136302
