Category,Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian infrastructure,Infrastructure in India,"Infrastructure in India: An Analysis of Public-Private Partnership in Roads
Public-private partnership (PPP) is a concept that has gained momentum globally as an alternative to traditional government-funded infrastructure development and financing. This paper analyses the development of the Indian PPP road sector and the challenges faced by PPP projects. It also discusses the role of government in the road infrastructure sector. The paper further analyses how the various components of PPP, i.e. concession, private investment, public sector investment are evolving and what challenges they face at the national and regional level.
This paper is part of a larger project funded by the Deutsche Gesellschaft für Internationale Zusammenarbeit - GIZ, the United Kingdom's Department for International Development – DfID, and Deutsche Bank AG.",0,186,0.5833333333333334,7.0,0.891545925723473,0.05024831309556545,0.8719999999999999,0.8799999999999989,0.806093569170409,78.20848363088444,73.17361111111111,51.098333333333336
Indian infrastructure,Public-private Partership in Indian Infrastructure Development: Issues and Options,"Public-private Partership in Indian Infrastructure Development: Issues and Options
- Details
-.
",1,185,0.7894736842105263,3.4412360080584263,0.9197168697545396,0.06278232975112612,0.7894736842105263,0.7894736842105263,0.0,22.135000000000005,17.11111111111111,10.0
Indian infrastructure,India infrastructure database 2005,"India infrastructure database 2005-2006
Expand view
This is the fourth edition of the India Infrastructure Database. It aims at providing information and data on the current status of India's infrastructure in terms of its quality, quantity and accessibility. The database provides a comprehensive account of infrastructure facilities and services at the national, state and municipal levels. These data are presented both in tabular and map form
The database consists of 12 tables covering all types of infrastructural facilities available in India. A summary of these tables follows :
1) Total Infrastructure Facilities by Category (Table 1): This table provides data in the form of a summary for all the infrastructure categories.
2) Roads - National & State Level ; and Railways, National and State – by Length;, 3) Airports 4) Telephony -- State and National Level;
5) Water Supply",2,181,0.5481927710843374,7.062969783927628,0.8824081146655184,0.05296673885742811,0.88,0.88225352112676,0.7976141332434518,53.41735918744229,57.69277108433735,55.43102262567912
Indian infrastructure,The significance and performance of infrastructure in India,"The significance and performance of infrastructure in India’s economy is well documented. In fact, infrastructure accounts for over 50% of the gross domestic product of India and about 30% to 40% share of its labour force is related to the infrastructure sector, which is why infrastructure projects play a key role in job creation and economic growth.
However, the government’ s focus has always been on improving connectivity and infrastructure. This is the reason why, even in the midst of a pandemic, work has been undertaken on a large-scale and has not been hampered in any way. It is only a matter of time before the country is back on its feet once more. But the pandemic has also exposed some weaknesses, including the lack of digital infrastructure and a robust IT backbone. These are now at the top of everyone’S list of priorities. The government needs to focus more on the digital economy. There is a need for a digital transformation of our society, economy and governance.",3,191,0.533678756476684,7.414102232711554,0.8806767683191469,0.052207499330942084,0.8914285714285713,0.8745562130177521,0.7631817337353624,50.59002926759198,51.75647668393783,55.47955192034139
Indian infrastructure,"Infrastructure, externalities, and economic development: A study of the Indian manufacturing industry","Infrastructure, externalities, and economic development: A study of the Indian manufacturing industry
AbstractThis paper analyzes the impact of government infrastructure on the location choice of manufacturing firms, the role of transport and infrastructure in the transmission of external spillovers of pollution and the relationship between the development of infrastructure and regional industrialization. We use the Census of Manufacturing Industries in India to study the determinants of location and capital structure, as well as the effects of regional differences in infrastructure quality on industrial location. The results confirm that there is a relationship of causation between infrastructure investment and industrial growth. However, there does not seem to be any direct relationship in terms of a positive impact on manufacturing employment. Furthermore, it seems to imply that the quality of roads is the most significant determinant of industrial development. Finally, we also show that infrastructure has a strong impact in reducing the level of environmental pollution generated. This implies that investment in roads may be a more efficient way of improving the environment rather than investment to improve the efficiency of production: 111",4,189,0.49238578680203043,6.910963848827236,0.8658971361674433,0.058446213896509155,0.8628571428571429,0.8554913294797675,0.7487508059612265,46.37069606159881,50.619289340101524,47.236503623188405
Indian infrastructure,Health infrastructure in rural India,"Health infrastructure in rural India is abysmal and a major hindrance in providing quality healthcare to the population. To address these challenges, The Centre for Community Medicine, Christian Medical College, Vellore (CCMC) in association with the Christian Life Mission – India & Sri Lanka (‘CLM’) has been carrying on a project of providing free medical care to underprivileged patients in 12 villages in and around Kumbakonam in Thanjavur, Tamil Nadu. The project is funded entirely by CCMC and CLM.
The aim of the project was to provide free healthcare services to 2000 rural families in the villages covered by the Project through primary healthcare centres at the village level, and also to conduct health awareness camps in these villages.",5,200,0.5851851851851851,6.799237430008577,0.8907651558427098,0.051275929515242194,0.8720000000000001,0.8688288288288291,0.7856407026502013,67.83415841584159,59.08148148148148,59.00763701707098
Indian infrastructure,The Role of Development Finance Institutions in Infrastructure Development: What Nigeria can Learn from Bndes and the Indian Infrastructure Finance,"The Role of Development Finance Institutions in Infrastructure Development: What Nigeria can Learn from Bndes and the Indian Infrastructure Finance Company
Abstract
This paper examines the development finance institutions (DFI) in general and infrastructure development financial intermediation specifically with emphasis on the Brazilian National Development Bank ‘BNDE’ in particular. It examines DFIs role in the infrastructure value chain from the perspective of infrastructure funding in Brazil and India.
The paper argues that DFEs can play key role as catalysts of economic growth in developing countries through infrastructure financing. This can be done by providing financial guarantees or by directly funding the construction of projects. DFAs provide financial guarantee to private and public investors for financing infrastructure projects in a country where there is lack of institutional financing or a weak credit rating system. In addition, the paper shows that infrastructure investment can create employment and increase productivity. The paper also suggests ways of promoting infrastructure in Nigeria in order for the country to benefit from such projects as is the case with China and South Korea. These countries are the most successful",6,186,0.5707070707070707,8.030560316061326,0.8939389390273413,0.04618046262136322,0.8742857142857143,0.9002298850574697,0.8148091141386851,73.2493609828496,72.38888888888889,71.92263202519379
Indian infrastructure,Exploring the relationship between organizational structure and knowledge retention: a study of the Indian infrastructure consulting sector,"Exploring the relationship between organizational structure and knowledge retention: a study of the Indian infrastructure consulting sector
Abstract
In the recent decade, the consulting and outsourcing sector has become a key contributor to the growth of Indian economy and it plays a significant role in the overall growth. The consulting industry is one of most profitable sectors in India. However, in such competitive industry, knowledge has always been a crucial factor. This is why, there is a great need to understand how the organization structure affect the knowledge of employees. There is also much research on the organizational structures; however, it is limited in its application to other sectors. Therefore, with a view to explore the role of organizational design on knowledge management in this sector, a case study has been conducted on Infrastructure consulting companies. It is found that the structure of organization has the significant relationship on Knowledge retention.
KeywordsStructural equation modelling Knowledge management Structural equation model Consulting industry Indian consulting firms
References
- Agarwal, A., & Singh, N. (2008). The impact of human resource practices and culture on",7,197,0.4807692307692308,6.933752452815364,0.8627891955472083,0.059191999797104704,0.865,0.8519565217391303,0.76943417554368,54.294117647058826,54.00961538461539,49.98458333333333
Indian infrastructure,The work of waste: inside India's infraeconomy,"The work of waste: inside India's infraeconomy by Arunima Sinha
The waste that India generates is a treasure trove of valuable resources. Yet it is mostly discarded, sold at a low price and sent to landfills. Arumima has a solution.
Arunika Sinh has spent more than a decade in India, and has worked with many of the country'...
This is an interesting book that takes a different angle on the waste management problem and looks at it from a business point of view. It is based on a year-long research project in which Aruna travelled across the sub-continent and spent time in landfill and incinerator sites. She interviewed people at all levels of society, from politicians to the people who run informal waste collection and disposal services. This book presents the case for rethinking India’s waste system as a commercial venture. In her view, we need to look at waste as an asset with economic value. For example she notes (p13) that",8,196,0.601063829787234,8.241372019631042,0.9027862530070898,0.04274714133162996,0.9028571428571428,0.9217073170731699,0.8381795818985887,94.0,96.13297872340425,89.69242424242424
Indian infrastructure,How do different categories of infrastructure affect development? Evidence from Indian states,"How do different categories of infrastructure affect development? Evidence from Indian states
Date2012-12-01
Author
Bhandari, A.
Mukherjee, T.K.S.P. (Tarun Kumar)
MetadataShow full item record
Abstract
The paper studies development effects of investment in different infrastructure categories in Indian state. We find that investment on education, communication and irrigation infrastructure increases growth. Investment in energy and transport infrastructure does increase growth to some extent but investment effects are not robust. Overall, infrastructure investment is found to be highly pro-poor in terms of reducing inequality. These findings have important policy implications.",9,190,0.631578947368421,6.743417843388197,0.9029744352172965,0.04717066261945042,0.8400000000000001,0.8297777777777772,0.8012700783667747,52.85755813953489,59.68421052631579,45.71575630252101
