Category,Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian climate,Impact of climate change on Indian agriculture: a review,"Impact of climate change on Indian agriculture: a review
J. K. Srivastava, S. B. Singh, and A. R. Saxena
Agriculture is the backbone of Indian economy. It is responsible for the livelihood of about 60% of the total population of India. The impact of climatic changes on agricultural production is very significant. Climatic change is a natural phenomenon, but it is being aggravated by human activities. Increasing greenhouse gases in the atmosphere have increased the atmospheric temperature. This temperature rise is causing changes in precipitation and extreme weather events. These changes are affecting agriculturally important crops and livestock.
The study area comprises of five districts of Uttar Pradesh. They are Bareilly, Shahjahanpur, Pilibhit, Rampur and Bijnor. All these",0,182,0.6159420289855072,7.235680511449363,0.9016485734991283,0.04596120739993548,0.8160000000000001,0.8214035087719297,0.7749413970965937,54.708534345704734,53.52173913043478,45.23105756358768
Indian climate,"The predictive state: science, territory and the future of the Indian climate","The predictive state: science, territory and the future of the Indian climate
The predictable state
Climate change is a global phenomenon, but the impacts are experienced locally. As a result, the governance of climate change and its mitigation and adaptation has been decentralised to the sub-national level. This has raised questions about the relationship between science and governments, and how science can be used to support policy decisions.
In India, climate science is being used by the government to make decisons about how to adapt to climate impact. However, there are concerns about whether the science being produced is reliable and relevant to policy. In this blog, Dr Mithika Mumba and Dr Katie Willis, from the University of East Anglia, discuss the challenges of using science to inform climate policy in India. They suggest that the way climate is governed is also an important factor in determining the extent to which science informs policy, as well as the capacity of",1,193,0.4945054945054945,6.671243849949911,0.8646817617480632,0.059873435401780535,0.84,0.8344303797468353,0.7282631751484483,40.25789791507755,41.23076923076923,42.648989898989896
Indian climate,Water resources and climate change: An Indian perspective,"Water resources and climate change: An Indian perspective
Increasing trends in water stress and water scarcity are some of the major issues that are affecting the water resources of India.
By: Shashank Shekhar | Published: July 27, 1998 5:00 am
Water is a precious resource. It is an essential requirement for the survival of all life forms. Water is required for drinking, agriculture, industry, and for recreational purposes. The water available on the earth is limited and its availability is affected by a number of factors. One of these factors is climate. Climate is the average of weather conditions over a long period of time. Thus, climate is defined as the typical weather patterns of a particular region. In a region, the climate varies from place to place. For example, in India, there are different types of climates in different regions. Similarly, climatic",2,190,0.5178571428571429,6.712195723350998,0.8715728948537002,0.05771202511081822,0.8333333333333334,0.7988888888888899,0.7379321846553593,33.81272659082386,38.99404761904762,35.70834117868574
Indian climate,Fractal dimensional analysis of Indian climatic dynamics,"Fractal dimensional analysis of Indian climatic dynamics
The Indian monsoon is an important driver of the Indian economy and the livelihood of over 1.2 billion people. It is also a complex system, whose dynamics are difficult to predict, because of its dependence on several external and internal factors. In this work, we use fractals to study the dynamics of monetary and climatological time series. We use the Hurst exponent, which is a measure of long range dependence, to quantify the nonlinearity of these time-series. The Hurts exponent is related to the fd-dimension of a time serie, and we find that the monitory time scale and that of climatoligical time scales have fracional dimensions of 0.89 and 2.02, respectively.
Titolo: Fracal analysis and monnetary time
G. G. C. P.",3,184,0.5540540540540541,6.740358479519649,0.8818355126517214,0.05444711414760144,0.808,0.8425806451612914,0.761818510514302,44.20419565675732,43.83108108108108,42.285238959467634
Indian climate,Temperature and rainfall extremes change under current and future global warming levels across Indian climate zones,"Temperature and rainfall extremes change under current and future global warming levels across Indian climate zones
S. B. Hegde, P. K. S. Rao, M. A. Patil, D. Mishra, N. Pandey, Sushil Kumar
The Indian region has a diverse climate with the highest rains and hottest temperature in the north-east, and the lowest rainy days and coldest temperature at the northern tip of the country. This study examines how the frequency of extreme climate events is likely to change across the Indian subcontinent under the current (1961-1850) and three future climate change scenarios (RCP 4.5, RCP8. 5 and RPC8D) for the 21st century. We find that the number of hot days (>35°C) is projected to increase in all climate regions of India.",4,180,0.6190476190476191,7.505553499465135,0.9039015011379115,0.04433983769767355,0.8640000000000001,0.8666666666666661,0.8103331250953714,78.26404359306147,85.47619047619048,80.99801587301587
Indian climate,Energy rating of different glazings for Indian climates,"Energy rating of different glazings for Indian climates
The Indian Building Code (IBC) 2005 recommends a minimum U-value of 1.2 W/m2K for windows. However, the energy performance of the windows depends on the thermal insulation of other components of building envelope. A study was conducted to evaluate the performance in terms of heat transfer coefficient (U-Value) of various glazing systems (single glazed, double glaze, triple glazes and laminated glasses) under different climatic conditions of India. The results show that the triple-glazed windows have the highest U value (0.47 W/(m.K)) and the single-glass windows the lowest (15.14 Wm-2. K-1) among the different window types.
Author(s): N. S. Gupta, V. M. Gautam, A",5,184,0.581081081081081,7.069156454130364,0.8913664363707932,0.05005551305568559,0.8639999999999999,0.8532258064516134,0.779645553034713,47.18840579710145,59.858108108108105,53.9150756260848
Indian climate,Indian Ocean circulation and climate variability,"Indian Ocean circulation and climate variability during the last interglacial
K. M. Cuffey, J. Jouzel, M.-A. Barnola, D. Raynaud, H. A. Frölicher, S. L. Johnsen, C. D.-C. Lee, P. B. Rhines, R. K. Anderson, A.-M. Delmotte, B.-P. Huber, K.-F. Huang, and J.-J. Pinson
J.-E. Chappellaz, T. F. Stocker, G. Leuenberger, E. Rignot, L.-L. Song, W. Twickler, F.-S. Wang, I. Zbichorski, Z.-Q. Li, Y. Yang, X. Gao, Q. Fu, N. Yoshida, O. Sav",6,185,0.7272727272727273,7.236272269866327,0.9306974047457746,0.03472708611365282,0.8133333333333335,0.7674666666666663,0.7586064715924079,76.65843212237095,59.33673469387755,31.445301542777003
Indian climate,Performance evaluation of reference evapotranspiration equations across a range of Indian climates,"Performance evaluation of reference evapotranspiration equations across a range of Indian climates
R.S. Srinivas, P.K. Patil, S.M. Chandrapure, R.Ramachandran, G. Ramanathan, K. Pandey, M. Singh, A.B. Rao, N.N. Sharma, T.C. Nayak
Reference evaporative fraction (Et) is an important input parameter for estimating crop water requirement. The accuracy of various reference Et equations (REEs) was evaluated for the period 1980-2010 across different agro-climatic regions of India. It was found that the REEs could not predict the actual Et across all the regions. A new equation was proposed by regressing the observed Et on the available meteorological data. This new REE was validated for two years and found to be more accurate than other REAs",7,188,0.6764705882352942,7.888934916555407,0.9204368477374839,0.03729163407818674,0.8560000000000001,0.8610714285714293,0.8315577628250902,80.89501312335959,80.8970588235294,51.12827735644637
Indian climate,A bioclimatic analysis tool for investigation of the potential of passive cooling and heating strategies in a composite Indian climate,"A bioclimatic analysis tool for investigation of the potential of passive cooling and heating strategies in a composite Indian climate
The aim of this study is to develop a tool that can be used to assess the performance of biomass-based passively-cooling/heating systems in Indian climates. This tool, called Bioclimatology for Building Energy Simulation (BioBES), is based on a biogeographical analysis of Indian biotopes and a climatic characterization of 130 Indian cities. The tool was tested using a case study of a building in the city of Delhi. Results show that the building's performance is strongly influenced by the climate in which it is located. In Delh...
Souza, A. R.; Ribeiro, E. P.; Neto, J. M.
An approach to evaluate the economic and environmental performance in building design. A case of Brazilian building
This paper presents an approach for evaluating the",8,183,0.536144578313253,6.9077396787863625,0.8780608553009074,0.05492486845842824,0.8533333333333334,0.8684507042253523,0.7821128207369173,59.616820885657646,55.54819277108434,52.847033821667566
Indian climate,Indian climate change policy: Exploring a co-benefits based approach,"Indian climate change policy: Exploring a co-benefits based approach
India is among the top ten emitters of greenhouse gases (GHGs) in the world. Its per capita emissions are among lowest in Asia. The country’s emitting sectors are power generation, industry and transport. India’ policy response to climate action has been limited to the Clean Development Mechanism (CDM) under the Kyoto Protocol and the Joint Implementation (JI) mechanism under EU Emission Trading Scheme.
In 2008, the Indian government set up a National Climate Change Council (NCCC) to develop a national climate policy. In 1997, India had ratified the UN Framework Convention on Climatic Change (UNFCC) and in 8010 it had signed the Proto-Climate Change Agreement (PCCA",9,180,0.6363636363636364,7.6098022910645255,0.9089261991021899,0.0422550355558125,0.944,0.9109243697478983,0.8218550563749685,81.85955121894159,82.9020979020979,79.69305555555556
