Category,Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian defense,india's quest for security: defence policies 1947-1965,"india's quest for security: defence policies 1947-1965
B. M. Kumaraswamy
India’s Quest for Security: Defence Policies 4177364972, 9535500384, B013WUWY5S
The book examines the defence policy of India from the attainment of independence in 31 August 29,1487, to the end of the Indo-Pakistan war of 6 December 71,46. During this period, India has experienced a long period of peace, followed by the two wars with Pakistan and the Sino-Indian war. In the context of these events, the book explores the major issues that confronted India and its quest to safeguard its security and sovereignty. The book also discusses the strateg",0,183,0.6115702479338843,6.7272727272727275,0.8974672793322784,0.0492286541517925,0.8200000000000001,0.8395876288659805,0.7798818065739089,52.29772234273319,56.47933884297521,52.69565217391305
Indian defense,"defence, make in india and the illusive goal of self reliance","defence, make in india and the illusive goal of self reliance
India’s Defence Budget: The Good, The Bad and The Ugly
By: Dr. Ajai Shukla
The Union Budgets are the most anticipated documents in the Indian calendar. They are eagerly awaited, debated and dissected. In the first of a two-part series, Aerospace and Defense Focus analyses the defence budget and its impact on the industry.
As India’ s defence spending has grown from Rs. 1,00,592 crore (US$ 21.2 billion) in 06-07 to R15,48,129 cr. ( US$31 billion ) in FY 67-68, the annual increase has declined from 9.5% to 5.4% over the same period. As a proportion of G",1,190,0.6402877697841727,7.548881474151742,0.9096484104607097,0.04216097319000195,0.8800000000000001,0.8591304347826092,0.8116555509727494,66.65163934426229,73.0,69.47419354838709
Indian defense,india-russia defence cooperation: re-discovering a long lost friend,"india-russia defence cooperation: re-discovering a long lost friend
India and Russia have been partners in defence for more than five decades now. However, the relationship has not always been smooth. The recent announcement of the joint production of BrahMos cruise missiles in India is a welcome development. This will not only improve the capability of both countries but also provide an opportunity to India to improve its technology and manufacturing capabilities.
The relationship between India and the Soviet Union began in 1947, when the Indian government signed a trade agreement with the USSR. In 2008, India became the world's largest arms importer, spending $4.1 billion on defence equipment. India'
india russia relations
r-s-f
brahmos missile
Read more about indian defence forces",2,195,0.6375838926174496,7.782703244930885,0.9100571055668271,0.041387567987388886,0.8960000000000001,0.8816000000000004,0.8257232494879406,88.24945235487405,74.06711409395973,73.05885666009576
Indian defense,indian defence review vol 22.4,"indian defence review vol 22.4
Indian Defence Review Vol 32
Air Chief Marshal P. V. Naik, Chief of the Air Staff, Indian Air Force, New Delhi
The Indian Defense Review (IDR) is a bi-monthly magazine that covers the defense and strategic affairs of India. The magazine is published by the Institute for Defenc...
Subjects: Non Fiction, History, Military History
Collections: Military Science, Naval Science
...e, and the great events of our history. He is an ardent student of Indian history and culture. His other books are: The Indian Struggle for Independence, The Making of Modern India, A Corner of a Foreign Field, India After Gandhi, Indira Gand...",3,190,0.583941605839416,6.834861261734087,0.890659273020719,0.05117221627383593,0.8720000000000001,0.80566371681416,0.7740972200426953,45.666666666666664,38.824817518248175,34.11367781155015
Indian defense,salient issues affecting defence manpower in india,"salient issues affecting defence manpower in india
The Indian Armed Forces are the military forces of the Republic of India. It consists of four professional uniformed services: the Indian Army, Indian Navy, and Indian Air Force, the country's military strategy is based on the concept of ""Jointness of Arms"", developed by General Sundarji.
Indian Army | Indian Defence | Salient Issues | Defense
Jun 19, 2016· The Indian army is the land-based service branch and the largest component of Indian defence forces. The army was founded in 526 BC by Chandragupta Maurya and was the first armed force of …
salient features of indian defence system
Salient Features of Defensive Strategy in India: Salutary Impact on Security, Economy, Society and Environment. Defend India' s borders with China, Pakistan, Nepal, Bangladesh and Myanmar. Sal",4,199,0.5617283950617284,7.149635231997314,0.8866386421576841,0.05130599117733615,0.8533333333333334,0.833913043478261,0.773670929736453,59.90396093326099,53.4320987654321,45.30610844200412
Indian defense,"defence spending, fiscal federalism, and economic growth in india: a new approach","defence spending, fiscal federalism, and economic growth in india: a new approach
Bhattacharya, Somdutta
This paper examines the relationship between defence expenditure and growth for India. It does so by applying the methodology of the ‘new’ defence economics, which is based on the premise that defence is a cost rather than a benefit to the economy. The paper estimates the defence multiplier for a panel of 25 Indian states for the period 1990-2011. We find that the impact of defence on growth is positive, but that it is statistically insignificant. However, the estimated defence effect is sensitive to both the specification of our model and the choice of states. This suggests that there is scope for further research on defence and its impact on economic development in India, using a broader range of models and data.
The paper was presented at the 5th World Conference on Public Policy, held at Yale University,",5,191,0.5314285714285715,7.030139197971627,0.877596770909365,0.05457028656394139,0.8742857142857143,0.8643708609271512,0.7630932506561608,59.87170524814443,57.12,51.29568200161421
Indian defense,a study of defence material export in india–an example to sustainable business through import substitution,"a study of defence material export in india–an example to sustainable business through import substitution
A study on defence materiel export from India is a subject of interest to many researchers. In the last few years, India has emerged as a major exporter of Defence Equipment. The study is an attempt to understand the export trends of Indian defence equipment in the recent years and the reasons for the success of the same. This study will be useful to policy makers, research scholars, and business analysts.
The study has been conducted by the author on the basis of secondary data. Data has also been collected from various official sources like Ministry of External Affairs, Ministry Of Defense, DefExpo website, DGDE website and various other websites. Further, information has come from the media reports, various publications, articles and newspapers. Information has further been gathered from interviews with the stakeholders and experts. Various data sources have been used in this study. These include official",6,192,0.5163043478260869,7.0034929173576135,0.8732373903084214,0.05597033386249752,0.8342857142857143,0.8355000000000008,0.7657606229834379,42.90535733154873,48.733695652173914,42.14790163058006
Indian defense,civil defence with special reference to india.,"civil defence with special reference to india.
Civil Defence with Special Reference to India by A. M. Kishore. Download PDF EPUB FB2
Additional Physical Format: Online version: Kumar, S.C. Civil defence. New Delhi: Allied Publishers, (OCoLC) Document Type: Book. The book Civil Defense with Reference India written by K.K. Sharma is very useful for UPSC Civil Service Examination. This book is specially designed for the preparation of U.P.S.E.I.A.& I.O.B.Sc.Exam.The book covers all the topics which are asked in the examination of IAS, IFS, IPS, IFoS and other allied services.4/5(2).
Buy Civil Civil defense with civil defense book Reference To India on FREE SHIPPING on qualified orders Civil Protection: Civil protection is a",7,198,0.6258992805755396,7.379243688215747,0.9050423974620482,0.04431028779021627,0.8400000000000001,0.8559999999999999,0.8095088240698803,71.78191878543993,66.71223021582733,67.40727124183006
Indian defense,role of defence forces in disaster management in india–a review,"role of defence forces in disaster management in india–a review
The role and importance of the armed forces is not limited to the military domain, but also extends to areas such as disability rehabilitation, relief and rescue, medical aid, and civil-military cooperation. This is due to their unique skill sets, infrastructure, equipment, manpower, logistics, training, experience, discipline, morale, leadership, esprit de corps, etc. The armed services have been a part of India’s disastrous response for decades.
In the aftermath of natural disas-ters, such incidents are expected to occur. India has experienced a number of dis-astrs in the past, including the 1967 floods in Assam, the Bhopal gas tragedy in 2002, which resulted in thousands of deaths, as well as the Tsunami in December 5, 994, in which over",8,194,0.5818181818181818,7.47358986395062,0.8939281108266512,0.04783434371650032,0.8066666666666666,0.8209929078014183,0.7544130284633054,35.22539413404633,40.31515151515151,37.419153063955044
Indian defense,indian air force in india's national defence 2032,"indian air force in india's national defence 2032
Indian Air Force in India'S National Defence 1992-2102 (English, Paperback)
The Indian Air force (IAF) is the world' s fourth largest air arm. It has been playing a major role in the defence of the nation. In this book, the author has attempted to give a comprehensive account of how the IAF has contributed to the national security. The author also highlights the major challenges the force has to face in future and how it is likely to meet them.
Inside the Indian Defense Establishment (Hardcover, 3rd Edition)",9,185,0.5811965811965812,6.28660222388593,0.8860465331481648,0.05509827185242657,0.8500000000000001,0.8425806451612893,0.7730986336189064,59.406976744186046,53.743589743589745,46.97954545454546
