Category,Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian economy,"Indian economy is on a path of growth, but there are some major hurdles, including low investment, that will need to be addressed to accelerate the process.
The Indian economy grew by 7.7%, according to the preliminary estimates released by the National Statistical Office (NSO) on 29 January. The GDP growth is expected to have picked up in the fourth quarter, after three consecutive quarters of decline. “We expect the economy to pick up momentum on the back of the government spending, as a share of GDP, which is likely to reach an 8% level by FY17,” says Rajiv Bakhshi, economist at HSBC. According to HSB, ‘GDP growth in fourth-quarter 2013 is not expected above the pre-Q4-2008 levels’.
While the growth rate in GDP is impressive, the Indian government expects more robust growth of about 10",0,184,,0.5535714285714286,7.175105773237274,0.8845884770800294,0.0518631382467708,0.8666666666666667,0.8705555555555556,0.778225911502043,57.19512195121951,61.38690476190476,62.046463245492376
Indian economy,"Indian economy will be 'world's third biggest by 2030: Report
New Delhi, June 14 (ANI): An India-based research and policy think tank, Centre for Policy Research, said that India, the world' s second most populous nation, will become the third largest economy by the year 2025 - ahead of the United Kingdom, Germany and France -- if the country continues to follow the current growth rate.
The report also said the size of India' s economy, at $2.3 trillion by end 2016, is already larger than the 11th-largest economy – United Arab Emirates ($ 1.9 trillion).
""India' will surpass the UK, France, Italy & Germany by around 2 decades in becoming the second- largest ‘economy by market GDP in the World, if India continues with its current rate of growth "" said a",1,193,,0.5783132530120482,7.451045046780795,0.8928714974366619,0.04825373284321157,0.9133333333333332,0.8983098591549292,0.8024753054552718,84.6627712854758,85.70481927710843,74.87914893617022
Indian economy,"Indian economy has been going through rough days. But it’s time to cheer. The country’S GDP growth rate for the April-June quarter, 2019 was 5 percent. According to the official figures released by the government, it is the highest growth in a decade.
The Indian economy had recorded a 4.8 percent growth between July-September, a six-quarter low. In the first quarter of (April- June) 2020, growth stood at 3.5%. India has seen a strong growth momentum during 2nd quarter. It recorded 8 per cent growth. This is an improvement over last two quarter’ s 6.2%, and a massive improvement from last year’ S 10.1%. The growth came mainly from manufacturing, construction and services. These sectors recorded over 9% growth during July – September. Manufacturing grew at a rate of over ten percent while the sector had grown",2,193,,0.543859649122807,7.111887749987415,0.8815433844209584,0.05304828567669944,0.9,0.8748299319727892,0.7910839912618428,61.454902454004184,61.1578947368421,55.292144683960544
Indian economy,"Indian economy has been witnessing a significant slowdown since the past few months which has affected the economy as a whole. It has had a negative impact on various sectors like automobiles and the housing sector which is a crucial indicator to measure the growth and demand of goods and services.
The housing and real-estate sector contributes to around 9 percent of the Indian GDP and is an important sector to boost the demand and growth in the overall economy. However, due to the current situation, there has not been any significant improvement in this segment. The sales in residential projects has reduced by more than 70 percent which can be attributed to various macro level factors like demonetization and other policy changes. According to data from the realty firms, the unsold stock has risen to 12 lakh flats across major cities which was 5.2 lakh units in December 2015 (before the note ban was announced). The current inventory of 13-lakh-flats are worth approximately Rs.",3,197,,0.5869565217391305,7.961865632364445,0.8978310462008351,0.04511133423676465,0.8685714285714285,0.8687499999999997,0.7984435120713811,61.333333333333336,70.19565217391305,64.94016227180528
Indian economy,"Indian economy to shrink by 10% on account of COVID-19 crisis
India's Gross Domestic Product (GDP) is projected to decline by around 9.5 per cent in FY2020-21 because of the COVID19 lockdown, according to the Asian Development Bank 'Asia-Pacific Economic Update 2021' report.
According to report the Indian economy will contract further in the second quarter of this fiscal and is expected to be 3.1 per-cent smaller by March, the report added. “In India, a nationwide lockdown in late March and early April is likely to reduce economic activity by at least 1.8 per - cent of GDP in Q1 FY 21,” the ADB report said. As the economic impact of coronavirus spreads to other countries, ADBs Asian Pacific Economic update for Q2 FY21 estimates that the region'S GDP will shrink 5.6",4,187,,0.6050955414012739,7.58182540244241,0.9006438901335889,0.04524619772920973,0.9466666666666667,0.925714285714285,0.8295745262525103,86.23788236617183,82.828025477707,65.0204938271605
Indian economy,"Indian economy grew by 4.3% in 2012-13. This is the lowest rate of growth since last six years but still the country’s economy is better than many countries. According to the data released by government, the manufacturing growth has dropped to 1.7% as compared to previous year and service sectors have grown by only 5.5%. This drop is due to a sluggish growth in domestic demand, as a result of which the growth of manufacturing and infrastructure sectors has slowed down.
However, it must be noted that the government data shows that growth rate is higher than the earlier estimates made by the Reserve Bank of India. RBI had earlier predicted growth to be 3.6% for ’12-’13, whereas, this year’ GDP growth is predicted to increase 7-7.9%. In other words, growth forecast by RBI is more optimistic than that of the Centre. In addition to that",5,190,,0.5232558139534884,6.862435664967211,0.8741747447421963,0.05628434540023875,0.8799999999999999,0.8848648648648652,0.7755738532353392,60.62007203035565,57.96511627906977,58.690215806357536
Indian economy,"Indian economy has a very large population of youth and with the growth of the middle class, the disposable income of Indian consumers is expected to increase substantially over the next few years. The Indian retail and consumer sector has been growing at a CAGR of 20% over 2003-2013 and currently stands at Rs 7,00,000 crore, with a market size of about $1,200 billion.
According to a recent report released by Boston Consulting Group, India’s consumer market will grow to 1.6x (from 0.9x) of that of China’ ($3.5 trillion) in the coming decade. With such large consumer base, it is imperative that the country’ s retailers have a strong digital presence, as this is the most effective way to target this large audience. Digital transformation of business, therefore, holds the key to success for companies in Indian Retail Industry. Here are the top reasons why",6,192,,0.6294117647058823,8.206525380666863,0.9098544056463669,0.04041589721674904,0.9199999999999999,0.9035616438356155,0.8285168367370852,85.0,79.01764705882353,83.91352762070466
Indian economy,"Indian economy is going through its worst phase in 10 years and the impact of coronavirus pandemic and subsequent lockdown is expected to push GDP growth below 5 per cent for 2019-20. The impact is already showing signs of contraction in some of the sectors such as tourism and travel related activities.
The Indian economy was going well, with growth at 7 per year. But the lockdown brought it down to 4 per annum, and with a contraction estimated for the current year, growth may come down even further. As a result of a sharp contraction due to lockdown, the country is likely to see a decline in Gross Domestic Product (GDP) by 25-30 per % in this fiscal year 2020-21, an official study has revealed. This decline will be the sharpest in the past decade as the economy contracted by about 8 per in FY2008-09, according to an assessment by the Centre for Monitoring Indian Economy ",7,194,,0.5810055865921788,7.773324964620133,0.8953239787779047,0.046463759412022444,0.9028571428571429,0.908903225806451,0.8176205422275719,72.40196796817753,75.20670391061452,68.14351851851852
Indian economy,"Indian economy is one of the most attractive markets for foreign direct investment (FDI) in the world, says a global study.
The study by global market intelligence firm, GlobalData, said India was the fourth largest recipient of FDI in 2017 with US dollars of 55 billion ($8.2 billion).
“The growth in India’s FDi inflows in recent years has been the highest in Asia and the third fastest in emerging markets — with growth of over 40 per cent,” said the report “Emerging Trends in Global Fdi Flows: India: Emerging as a destination for FdI”.
It said that the US-based firm Microsoft, which had announced plans to set up an innovation lab here, was a case in point. ",8,186,,0.5972222222222222,7.166666666666667,0.8962806101053192,0.048054666569930175,0.9119999999999999,0.8796666666666665,0.8042462695154544,69.84172661870504,67.89583333333333,59.08071261291402
Indian economy,"Indian economy has witnessed a remarkable improvement in the past decade. The economy is now growing at an annual rate of 8 percent and is expected to grow even higher. This growth is not just a result of economic reforms but is also an outcome of the government’s policies. These policy measures have resulted in improved infrastructure, reduced corruption, and greater transparency. However, the real challenge is to translate this economic growth into real-time gains for the people. In order to achieve this, it is important to understand the drivers of growth and to take appropriate policy actions to maximize the benefits from these drivers.
The Indian economy grew by only 2.1% in FY2013-14, but the pace has been picking up in recent years. India was the sixth-largest economy in 2012-13 and it has surpassed France to become number 5 in terms of GDP, ahead of Italy. It ranks 11th",9,185,,0.5657142857142857,7.483696565582699,0.889701891488803,0.04917353433919526,0.8685714285714285,0.8768211920529804,0.7890799766673329,61.027924029507986,63.26857142857143,60.97112705783031
Indian economy,"Indian economy will grow at 6.5-7.2% in FY19, 8% for next 3 FYs: Economic Survey
The Survey has projected the economic growth in 2018-19 (FY19) at about 7%, which has been pegged lower than the RBI's forecast at the time of the mid-quarter review at a rate of 72 basis points - 5.7% against the central bank'a estimate of about six per cent.
06:02 pm
Economic Survey, which was released by the government, projects the economy to grow by 4.1 per cemtre at current prices in the 10th five-year plan. It has pegging the growth rate for fiscal year 2020 at around 0.8 per ceetre, against 1.3 per cenrtre projected by Finance Minister Nirmala Sitharaman. The Survey states that the Indian",10,196,,0.5878378378378378,7.151355947783043,0.8936798907064777,0.04898953363058957,0.8959999999999999,0.8919354838709674,0.8033875826993251,76.93178818231229,75.79729729729729,77.23977183320221
Indian economy,"Indian economy has been going through a tough phase. In this period of slowdown, India has witnessed several challenges. With the recent economic slowdown and a weak currency, a big question arises in front of the entrepreneurs. Should they wait till things get better or take risk and move on with their entrepreneurial ideas.
Well, there is no fixed answer. It depends on your business idea, the amount of risk you can take and your financial condition. The best thing you could do is, to make a business plan for your entrepreneurial idea and then take a decision. If the business model makes good sense, then only you should move ahead with it. But, if you see it failing, it’s better to drop it now. This would save you time and money in the long run. However, before taking any decision, you need to analyze the risks associated with your idea. Here are some points you must consider before launching your venture. These are:
- Your own financial status: It is",11,197,,0.5303030303030303,7.462025072446365,0.8800539615614486,0.05222617512868417,0.8914285714285713,0.8827586206896549,0.7960700679184279,60.5364238410596,67.41919191919192,56.568161577608144
Indian economy,"Indian economy grows 5.3% in the first quarter of 2019-20: What does it mean?
The Indian economy grew 6.1% during the fourth quarter (October-December) of fiscal year 2008-2009. ""The first-quarter growth is also lower than 7.5 percent of the second quarter in 2020-21"", he said. The GDP growth for the fiscal fourth week in March stood at 4.2 per cent, lower... More..
Narendra Modi's 'Jai Ho' campaign for elections kicks off on April 15
In its manifesto, the Congress party had promised to create 2 crore jobs by reviving MSME sector, which is the largest employer in India with a total workforce of over 100 million. As per the report, there has bee...More..
..",12,185,,0.6644736842105263,8.19218176710351,0.9186365992764173,0.037291124429420924,0.9133333333333332,0.9187499999999996,0.8491687055414339,80.18032552826955,94.66447368421052,81.6756850103615
Indian economy,"Indian economy grew by 9.4% in 2021-22, says official data; manufacturing, construction, and trade sectors led the growth
India’s GDP (gross domestic product) for 2011–12 is estimated at Rs 16,54,000 crore, or about $2.47 trillion, as per the official figures for GDP for FY 12–13, the first full year of implementation of 11th Five-Year Plan. This is an increase of Rs. 3,50,300 crore over Rs, 13.99 lakh crore recorded at the end of the 10th plan. In terms of growth, it is at 8.2 percent.
“The 1st Five Year Plan 1961 to 66 is considered to be one of most productive Five Years Plan in independent India, in terms on GDP growth. The growth of India was recorded as high as 6.6",13,193,,0.6040268456375839,7.373087284671365,0.8992521892139006,0.04635949170602187,0.8719999999999999,0.8640000000000001,0.8037928240934109,58.95431373914119,68.73825503355705,51.150495049504954
Indian economy,"Indian economy likely to expand by 8.4 pc: ADB
New Delhi: The Asian Development Bank today raised the forecast for India's gross domestic product (GDP) growth for 2010 at 9.1 per cent, higher than the government estimate of 7.6 per cents and a growth rate of eight per.",14,200,,0.8392857142857143,6.280639184941973,0.9564748368624921,0.024897300785228133,0.92,0.9075000000000004,0.873292448292449,97.56444444444445,66.0,0.0
Indian economy,"Indian economy grew at its slowest pace in 15 years in July-Sept quarter
Gujarat, which was the top performer among the 29 major economies, grew by 3.7 per cent, compared with 5.9 per in the corresponding period of 2017-18.business Updated: Feb 07, 2020 19:35 IST
India’s economic growth slowed to a four-year low of just 4.5 per cnet in last quarter of the financial year (2018-19) due to poor performance of manufacturing and mining industries, the government data showed on Thursday. The growth rate of India’ economy had slowed by over 50 per cents from 7.1 per cen in fourth quarter [October-December] of FY17 to 6.8 percen in FY19, as per the GDP data released by the Central Statistics Office ",15,184,,0.6666666666666666,8.0,0.9184144184766947,0.037799758762535454,0.9359999999999999,0.9226666666666663,0.8296506437995784,96.19380134428678,97.01388888888889,100.86552072800808
Indian economy,"Indian economy is likely to grow by 4.5% in next two years, said the Minister of Statistics, Program Implementation and Capacity Building Pratima B. Patil on Tuesday.
The minister, while speaking after releasing the 'State of State Economy Report 2010', said, ""The economy of the country has witnessed a sharp contraction in the last year and a half, but we are confident that the economy will grow in 2-3 years' time.""
In 2008-2009 fiscal, the Indian economy grew by a meager 1% against 9% growth in preceding year. The economy, which was expected to register a positive growth, registered a negative growth because of a global slowdown, she said. In 1998, during NDA government's tenure, a contraction of 8.3%, the lowest in a century, had been observed.",16,200,,0.5370370370370371,6.83536555146996,0.8778031558296963,0.05530482633791855,0.8399999999999999,0.8423188405797106,0.7531346464159394,54.0,48.79012345679013,43.099539170506915
Indian economy,"Indian economy has been in a slow mode since the past few years. The government has taken various steps towards economic growth. However, the growth has not picked up the way it is supposed to and the situation seems to be worsening. With the upcoming assembly elections in various states, we need a turnaround from the government to help boost growth again. In order to boost the economy, various sectors should be given a boost through the budget. These measures would ensure that the Indian economy starts growing again, and help the people at the bottom of the economic pyramid.
Agriculture Sector in India
The agriculture sector in the country employs a large section of people, as a majority of them are farmers who rely on agriculture as their source of livelihood. Agriculture contributes a major percentage to the GDP. Thus, it has the ability to create jobs, generate income and provide basic food to every Indian. Therefore, if this sector gets a push, then it would not only help India but",17,191,,0.5520833333333334,7.6498910667625415,0.8870077411620069,0.049486356604007846,0.8285714285714285,0.8445238095238098,0.7814649509631766,58.18758256274769,60.536458333333336,50.52407140281284
Indian economy,"Indian economy is expected to grow at a slower pace of 7.2% in the current fiscal, down from the earlier forecast of around 8.0%, the finance minister P Chidambaram told the Lok Sabha on Friday.
The government is confident of containing fiscal deficit at about 4.8% of the GDP, he said, adding that inflation is also likely to be contained within 5.5%.
Chidamabaram also announced that the government has decided to increase allocation for the food security programme under the National Food Security Act. He said the additional allocation will be Rs 12,000 crore, taking the total allocation to more than Rs two lakh crore. This includes Rs. 3,800 crore for providing food grains to nearly 60 crore people in 11 states and union territories. In addition, the minister said Rs2,200 crore was allocated for food stock management. The minister informed that 10,",18,191,,0.5950920245398773,7.597626364883187,0.8981027333807667,0.04606176547431111,0.88,0.8607194244604318,0.7978507941290353,68.44849792758538,61.828220858895705,55.74363425925926
Indian economy,"Indian economy is one of the fastest growing and most vibrant economy in the world. It has the third highest nominal GDP in 2013 and has a large share in world trade. Indian economy has grown at a CAGR of 7.7% between 2004 -12. The growth was due primarily to high domestic savings. In spite of rapid progress, it is estimated that the current economy will not be able to absorb the increasing number of working age population.
The economy of India can be broadly divided in to three sector- agriculture sector, industry and services. Agriculture sector is the main sector of Indian Economy. India has 18% agricultural workforce. 70% of Indians are employed in Agriculture. Most of them are in rural areas (65.6%) followed by urban. About 60.3%of total population of rural are farmers and remaining in service sector and rest in industry.",19,182,,0.5609756097560976,7.183993046875879,0.8866484330606696,0.051178130250241115,0.8666666666666667,0.8480000000000006,0.7610989825873192,52.37360178970917,48.80487804878049,50.83033498759305
Indian economy,"Indian economy to grow at 5.6 pct: ADB
The Asian Development Bank (ADB) today projected India's economic growth in the current fiscal 2014-15 at a 10-year high of 4.8 per cent.business Updated: Feb 18, 2008 13:55 IST
India'ss economic output will grow by 8.9 per cenrto 7.3 per cnet in 2020. However, the growth will remain sluggish at an annual rate of just 1.1 percent in real terms in India.
Growth in China would slow to below five percenr in both 2oo9.",20,183,,0.7373737373737373,7.336776051392248,0.9336991375802145,0.033222937037425855,0.9333333333333332,0.9322666666666675,0.8612714044121299,105.54923076923076,102.0,0.0
Indian economy,"Indian economy is facing slowdown as the economy grew at a rate of 5.3 percent in the quarter ending in September 2016. The growth rate is the lowest in last 4 years.
The growth of economy was hit by slowdown in manufacturing, construction. On the other hand, the services sector showed strong growth.",21,186,,0.6333333333333333,4.905778905196061,0.8884416307532698,0.06273840272173754,0.8200000000000001,0.7811111111111113,0.6945254143629975,40.932203389830505,35.083333333333336,29.8325
Indian economy,"Indian economy is growing. So is the growth of the real estate market in India. This has led to increased interest in property ownership. As a result, a lot of individuals are looking to own a real property. If you are one of them, we would like to introduce you to the concept of property development.
The word ‘development’ has various connotations in real world. For some, it may be a new venture, or a business idea. Others might think of it as an expansion of a project. The concept is similar in the world of real Estate. Property development, as you may have already guessed, refers to developing property to meet the need of potential buyers. In simple words, property developers buy land or property and then sell the same after adding value to it. You may also have heard the term “value-add” used in this context. Value-Add is basically the difference between the cost of buying land and the market value of developed",22,194,,0.48186528497409326,6.69428648196286,0.8612704397285535,0.06069835121818621,0.8228571428571428,0.8362130177514794,0.7465761527955407,45.838956823671495,44.84974093264249,46.28079911209767
Indian economy,"Indian economy to grow by 5.4% in 2018, says SBI
India’s economic growth is likely to reach “slightly” higher than 6 per cent in the current fiscal, State Bank of India has said, projecting 7.5-7 per per, according to the latest S&P Global Global Market Intelligence.
However, the SBN report noted that.”",23,185,,0.7352941176470589,6.063390625908324,0.9271278259853,0.039766340839828676,0.88,0.8809090909090908,0.8099617221379724,71.9288888888889,69.53731343283582,0.0
Indian economy,"Indian economy to grow at 5.5%, says RBI
The Reserve Bank of India (RBI) has projected a growth of 4.7 to 6.1 per cent for the current fiscal.
Mumbai: The Reserve Banking of
India [ Images ] ",24,188,,0.8043478260869565,5.455352377731194,0.9431329651179854,0.03420043123447753,0.92,0.9127272727272726,0.8181379007465961,65.83111111111113,52.0,0.0
