Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian economy,"Indian economy to grow 7.7% in 2018-19: IMF
The Indian economic growth is expected to remain strong at 6.9 per cent in the fiscal year 17-28, the International Monetary Fund (IMF) said in its latest report.
“The outlook for India’s economy is positive. Growth is projected to moderate to 8 per in fis 38 and 5.5 per year in FY39,” the IM said. The IM forecasts that the Indian growth will rise to a 9.6 per annum in five years. India will be the fastest growing major economy in terms of GDP growth, according to the report, titled ‘Global Economic Outlook: Gaining Momentum’. In the next fis, India is likely to become the second largest economy",0,185,0.5633802816901409,6.713450866373513,0.8842170204371272,0.053795291818142264,0.8800000000000001,0.8816949152542378,0.7668829982828996,53.101746393318145,56.978873239436616,51.79561459667093
Indian economy,"Indian economy has been growing at a rate of 8% in the past 2 years. The growth is being driven by the domestic demand, which is mainly led by a strong consumption. However, the consumption is not only limited to the household but is also driven from the corporate sector. With the growth in consumption, there has also been a growth of the disposable income, thereby resulting in a demand for housing.
The demand in real estate sector is increasing, as there is a need for more housing units, especially in urban areas. To fulfill this demand of housing, developers are coming up with new projects, where they are building residential complexes, commercial complex, shopping malls and other recreational facilities. This is leading to an increase in demand and supply of real estates, resulting into the increase of GDP. In the recent past, Govt. of India has taken various steps to improve",1,186,0.5057471264367817,6.67126278349435,0.8678598221577283,0.058976689730680217,0.8333333333333334,0.8207999999999993,0.7404189803796722,46.82502026375421,44.50574712643678,41.75179340028694
Indian economy,"Indian economy has witnessed an unprecedented growth over the last decade. The economy grew at a CAGR of 7.4% during 2001-11. This growth has been aided by a number of factors such as liberalization, increased FDI, globalization and rising per capita income. However, the economy is currently facing a slowdown and the growth rate is expected to be 6.5% in 12th plan.
The Indian Economy is facing the problem of high inflation. Inflation is a major concern for the Indian Government. High inflations are a serious problem as it can lead to loss of purchasing power of the common man. It can also lead the government to adopt unpopular measures such a raising interest rates or taxes. There are various causes of inflammation in the country. Some of",2,181,0.593103448275862,7.141911267421637,0.895034278865602,0.04856448370932555,0.8160000000000001,0.8502479338842981,0.7809259860198555,52.31350623368931,58.84137931034483,45.042377583576084
Indian economy,"Indian economy has been growing at a decent rate for the last few years. However, the growth is not uniform across the country. In fact, some parts of the economy have been lagging behind, and it is high time that these regions are given the attention they deserve.
One such region is the Indian agricultural sector. This sector is one of India’s largest and most important industries, accounting for about 15% of GDP and employing about one-third of all workers. Despite its importance, however, agriculture has lagged behind in terms of growth and development in recent years, with many farmers struggling to make ends meet. The Indian government has recognized this problem and is working to address it through a variety of initiatives, including the launch of a new agriculturally focused satellite.",3,194,0.5986842105263158,7.381074661449696,0.8978835160986257,0.046802843460270555,0.8799999999999999,0.8693749999999989,0.793984815833513,76.0,66.83552631578948,63.56989247311828
Indian economy,"Indian economy may grow at 8% in 2010-11: Montek
India's economic growth may accelerate to 7.9-8 per cent in the current fiscal, 1.5 per-centage point higher than the previous year, Planning Commission Deputy Chairman MonteKalsi said on Monday.
""I think we will have a growth rate of 6.7 per cetn in this fisca, and in next fisacal year 09/1o we may have 4.2 per cen growth,"" Kalsi told reporters on the sidelines of a function to mark the 30th anniversary of the Plannning Commission. ""I hope we can achieve a higher growth in coming years.""
The economy grew at a slower-than-expected 5.8 percent in April-June quarter of this year as the global meltdown and the credit",4,198,0.593103448275862,7.141911267421637,0.895034278865602,0.04856448370932555,0.9039999999999999,0.9028099173553716,0.8111775084876733,84.55734248006515,76.28965517241379,72.35652173913044
Indian economy,"Indian economy has become one of the fastest growing in the world. The economic reforms undertaken by the Government of India in 1991 have ushered in a period of rapid economic growth. In recent years, India has achieved an average annual growth rate of more than 8 percent. India is the 6th largest economy in terms of nominal GDP and the third largest in purchasing power parity (PPP).
India is one the largest consumer markets in world and is projected to become the second largest by 2030. With a population of over 3 billion, the Indian consumer market is estimated to be worth $1 trillion.
The Indian government has taken several measures to promote foreign investment in India. These include liberalization of foreign direct investments (FDIs), removal of restrictions on foreign equity participation in certain sectors, and relaxation of rules governing repatriation. As a",5,196,0.558282208588957,7.127670094890412,0.8855674755708295,0.05172821880086553,0.8466666666666667,0.8610071942446047,0.778830954978103,58.93509440813363,57.74846625766871,52.034332820001815
Indian economy,"Indian economy to grow at 6.7% in 2015-16: PwC
The report also said that the government's thrust on infrastructure development will have a positive impact on the economy in the long term.
India'sgross domestic product (GDP) is expected to expand at a rate of 7.5 percent in fiscal 14-25 and 8.0 percent by fisca17- 30, according to a report by PWC. Photo: Mint
Gross Domestic Product ( GDP ) growth is estimated to be 5.3% for 4QFY18
Forex reserves dip by $593 mn to $390.66 bn
Economy to slow to 9% growth in FY21: RBI
Maharashtra'ss economic growth at",6,195,0.6666666666666666,7.393691004272944,0.9157419836470946,0.040316670786490226,0.9299999999999999,0.9050505050505057,0.8344188053770193,74.97639225181598,80.95934959349593,90.60807453416149
Indian economy,"Indian economy grows 11.2% in April-June
The Indian GDP growth rate for April to June 2021 was 8.4%.
India’s Gross Domestic Product (GDP) grew 7.5 per cent in the April - June quarter of 3019-22, the government said on Thursday.
According to the data released by the National Statistical Office, this is the highest growth in a quarter in 4 years. In the first quarter, GVA was recorded at 9.6 per. cent. The GDA of the country in this quarter is 5.3 per ​​cent more than the same quarter last year. This is higher than 6.0 percent growth estimated in advance. According to an estimate by Reuters, India’ s GDPA growth was expected to be 0.1 per.cent. in July-Se",7,198,0.5342465753424658,6.45532593109847,0.8742080098601663,0.05811990859237334,0.8480000000000001,0.8436065573770495,0.7588310040280278,51.32860445565363,47.68493150684932,44.93974780701754
Indian economy,"Indian economy to grow by 7.7% in 2015-16, says IMF
The International Monetary Fund (IMF) on Tuesday said that the Indian Economy will grow at 6.3 percent in the current fiscal year and is expected to pick up to 8 percent by the next fis...
Indian Economic Outlook: 10.5% Growth in FY14
According to the Economist Intelligence Unit (EIU), India’s economy is set to expand by a robust 9.2% this year, the fastest in Asia. The EIUs’ forecast for 5.8% growth in...
RBI Policy Review: Cash Reserve Ratio Cut By 0%
In its latest monetory policy, RBI has cut the cash reserve ratio (CRR) by half a percentage point to lower the cost of",8,198,0.6363636363636364,7.6098022910645255,0.9089261991021899,0.0422550355558125,0.9039999999999999,0.9115966386554617,0.8211006531344449,78.40321181884036,82.33566433566433,83.20226423902895
Indian economy,"Indian economy to grow at 7.2% in 2018, 8% next year: IMF
The IMFC also welcomed India's new government' s commitment to fiscal consolidation, but called for a more ambitious fisca...
Japan'S PM Abe To Visit India On April 11-12
Prime Minister Narendra Modi will be meeting the Japanese Prime Minister Shinzo ABE on April,10,217 in New Delhi. ""I am...
March 31, is the deadline for the FCC to review the deal. Ajit Pai, the chairman of the Federal Communications Commission...",9,180,0.7281553398058253,7.389969586232199,0.9315513645999604,0.034006046072635375,0.8999999999999999,0.9154430379746847,0.8463700465190732,106.09000000000002,103.8921568627451,0.0
