Experiment,Topic,Metric,Value
PCA/KMeans,Indian climate,c_v,0.49294214985389306
PCA/KMeans,Indian climate,c_umass,-0.042619566288088474
PCA/KMeans,Indian climate,c_npmi,0.04213790452285245
PCA/KMeans,Indian defense,c_v,0.5461398182653173
PCA/KMeans,Indian defense,c_umass,-0.10171562623705303
PCA/KMeans,Indian defense,c_npmi,0.05226847020157282
PCA/KMeans,Indian economy,c_v,0.428289850272811
PCA/KMeans,Indian economy,c_umass,-0.10587720484080276
PCA/KMeans,Indian economy,c_npmi,-0.005599911613888828
PCA/KMeans,Indian infra,c_v,0.44218534780745333
PCA/KMeans,Indian infra,c_umass,-0.04620981203626293
PCA/KMeans,Indian infra,c_npmi,0.025370472591990073
PCA/KMeans,Combined,c_v,0.6316103979750709
PCA/KMeans,Combined,c_umass,-0.1441499041231714
PCA/KMeans,Combined,c_npmi,0.08967129517389046
UMAP/KMeans,Indian climate,c_v,0.46810964749337397
UMAP/KMeans,Indian climate,c_umass,-0.05386125836324374
UMAP/KMeans,Indian climate,c_npmi,0.01687072594028241
UMAP/KMeans,Indian defense,c_v,0.5197571090810572
UMAP/KMeans,Indian defense,c_umass,-0.10597758286581771
UMAP/KMeans,Indian defense,c_npmi,0.04919404190515434
UMAP/KMeans,Indian economy,c_v,0.4472805046828184
UMAP/KMeans,Indian economy,c_umass,-0.10723609424964779
UMAP/KMeans,Indian economy,c_npmi,0.047454683880448385
UMAP/KMeans,Indian infrastructure,c_v,0.41908168604311796
UMAP/KMeans,Indian infrastructure,c_umass,-0.002130978313435329
UMAP/KMeans,Indian infrastructure,c_npmi,0.03859446228653653
UMAP/KMeans,Combined,c_v,0.5936838292019958
UMAP/KMeans,Combined,c_umass,-0.041075388476559636
UMAP/KMeans,Combined,c_npmi,0.08727133908561101
SVD/KMeans,Indian climate,c_v,0.4968222806073374
SVD/KMeans,Indian climate,c_umass,-0.08456742169643867
SVD/KMeans,Indian climate,c_npmi,0.03354136673256142
SVD/KMeans,Indian defense,c_v,0.5687047074141022
SVD/KMeans,Indian defense,c_umass,-0.18861478229871773
SVD/KMeans,Indian defense,c_npmi,0.017740197226646808
