Experiment,Topic,Metric,Value
PCA/KMeans,Indian climate,c_v,0.713211409899683
PCA/KMeans,Indian climate,c_umass,-0.175056823506283
PCA/KMeans,Indian climate,c_npmi,0.12659915629097
PCA/KMeans,Indian defense,c_v,0.435504222551241
PCA/KMeans,Indian defense,c_umass,-0.0191788048290964
PCA/KMeans,Indian defense,c_npmi,0.0329403105903165
PCA/KMeans,Indian economy,c_v,0.413085080135565
PCA/KMeans,Indian economy,c_umass,-0.0359409649168564
PCA/KMeans,Indian economy,c_npmi,0.0536580081435721
PCA/KMeans,Indian infra,c_v,0.418845446324338
PCA/KMeans,Indian infra,c_umass,-0.0617983711181652
PCA/KMeans,Indian infra,c_npmi,0.0413658243267505
PCA/KMeans,Combined,c_v,0.740873469291157
PCA/KMeans,Combined,c_umass,-0.11198447335624
PCA/KMeans,Combined,c_npmi,0.150100969979404
UMAP/KMeans,Indian climate,c_v,0.700066934846297
UMAP/KMeans,Indian climate,c_umass,-0.161583775091549
UMAP/KMeans,Indian climate,c_npmi,0.138209554172683
UMAP/KMeans,Indian defense,c_v,0.507484600134688
UMAP/KMeans,Indian defense,c_umass,-0.0255717397724471
UMAP/KMeans,Indian defense,c_npmi,0.0612772751059042
UMAP/KMeans,Indian economy,c_v,0.392026006004459
UMAP/KMeans,Indian economy,c_umass,-0.030806541357153
UMAP/KMeans,Indian economy,c_npmi,0.0176909433576733
UMAP/KMeans,Indian infrastructure,c_v,0.410300662476267
UMAP/KMeans,Indian infrastructure,c_umass,1.00008890058184E-12
UMAP/KMeans,Indian infrastructure,c_npmi,0.0465731013216705
UMAP/KMeans,Combined,c_v,0.795122923452279
UMAP/KMeans,Combined,c_umass,-0.207893965153306
UMAP/KMeans,Combined,c_npmi,0.180403347542454
SVD/KMeans,Indian climate,c_v,0.694514125952612
SVD/KMeans,Indian climate,c_umass,-0.154032706789612
SVD/KMeans,Indian climate,c_npmi,0.0803946092139746
SVD/KMeans,Indian defense,c_v,0.428057029214371
SVD/KMeans,Indian defense,c_umass,1.00008890058184E-12
SVD/KMeans,Indian defense,c_npmi,0.03161973084745
SVD/KMeans,Indian economy,c_v,0.448498033691578
SVD/KMeans,Indian economy,c_umass,1.00008890058184E-12
SVD/KMeans,Indian economy,c_npmi,0.0933512185066449
SVD/KMeans,Indian infrastructure,c_v,0.422397359865381
SVD/KMeans,Indian infrastructure,c_umass,-0.0617983711181652
SVD/KMeans,Indian infrastructure,c_npmi,0.0416832817287606
SVD/KMeans,Combined,c_v,0.740873469291157
SVD/KMeans,Combined,c_umass,-0.11198447335624
SVD/KMeans,Combined,c_npmi,0.150100969979404
PCA/Agg,Indian climate,c_v,0.654376417931668
